germplasmName,value
WINTERHAWK,5136.17
NI12702W,6092.25
NORTHERN,5258.83
TAM 114,5716.67
WI13OWW-138.04,4242.8
CATAWBA,5436.65
WI13OWW-9.05,5269.76
Blé de Redon De sixt Sur Aft,5252.06
WARTHOG,5750.21
Haute Brionnais Mutique,3302.18
WI13OWW-152.02,5243.81
WI13OWW-11.03,4577.74
VA14HRW-25,5164.56
VA14HRW-25,6666.08
WI13OWW-8.06,4830.79
VA14HRW-41,6421.44
GUA,4929.37
Turkey Red,5080.36
14VDH-HRW02-029,4400.05
WI13OWW-47.04,3640.3
YELLOWSTONE,5736.87
EVEREST,2820.66
Blanc dla Saone,3694.07
ARS18W0700,4784.52
WI13OWW-49.01,4404.41
WI13OWW-2.02,5263.07
Atar,4228.42
WI13OWW-199.1,5039.65
Rouge du Roc,7019.28
WI13OWW-251.01,4728.12
Marius,4471.18
ARS16W1025,3004.38
Maxine,5058.18
WI13OWW-140.05,4098.15
BLANC_DE_MORVAN,2771.83
MT WarCat,4333.24
REDEEMER,3432.85
BANATKA,3291.71
Ladoga,3436.67
VA20HRW-70,2091.7
WI13OWW-138.1,2665.76
PS_ExtensivMontpellier,2365.88
LYMAN,3432.26
Blé du Lot,4041.87
REDFIELD,6187.61
IDEAL,5197.71
Megamix Moulon Autogame,4140.84
VA20HRW-10,4689.89
VA19HRW-26,4841.15
Ovlianowska,2721.8
WI13OWW-10.05,3900.39
WARHORSE,4152.74
Blé Allemand,3520.34
VA20HRW-50,4874.24
WI13OWW-260.06,4027.18
WARTHOG,4564.18
St. Priest et le Vernois Rouge,3525.43
Rallet,2593.71
ROJO_DE_SABANDO,3201.74
WI13OWW-246.02,3074.26
Megamix Montpellie Autogame,2828.03
ARROW,3501.93
Lagoda,2701.78
ARS20W067,1849.68
GOODSTREAK,3908.75
Ronso della Langhe,4402.9
WI13OWW-59.05,4374.31
VA20HRW-38,5757.07
WI13OWW-140.05,3958.82
Sirvinta,4414.61
ARS19W258,4499.7
ARS18W0079,4250.11
VA17W-75,4466.95
TUELLE,3001.98
