study_db_id,season,germplasm_db_id,germplasmName,observation_unit_db_id,observation_unit_name,rep,block,plot,row,column,observation_variable_name,value,project_id,file_name,download_url,studyName
9724.0,2023.0,238309.0,OVERLAND,1420320.0,ARS-NRPN-2023-MOCCASIN_PLOT2,1.0,1.0,2.0,,,Grain yield - kg/ha|CO_321:0001218,5924.73,,,,ARS-NRPN-2023-MOCCASIN
10163.0,2024.0,238309.0,OVERLAND,1466110.0,ARS-NRPN-2024-WICHITA_PLOT2,1.0,1.0,2.0,,,Grain yield - kg/ha|CO_321:0001218,5504.79,,,,ARS-NRPN-2024-WICHITA
10162.0,2024.0,238309.0,OVERLAND,1466053.0,ARS-NRPN-2024-CASSELTON_PLOT2,1.0,1.0,2.0,,,Grain yield - kg/ha|CO_321:0001218,6952.68,,,,ARS-NRPN-2024-CASSELTON
9686.0,2023.0,238309.0,OVERLAND,1418654.0,ARS-NRPN-2023-WICHITA_PLOT2,1.0,1.0,2.0,,,Grain yield - kg/ha|CO_321:0001218,3002.93,,,,ARS-NRPN-2023-WICHITA
10160.0,2024.0,238309.0,OVERLAND,1465956.0,ARS-NRPN-2024-BROOKINGS_PLOT2,1.0,1.0,2.0,,,Grain yield - kg/ha|CO_321:0001218,4576.4,,,,ARS-NRPN-2024-BROOKINGS
10161.0,2024.0,238309.0,OVERLAND,1465985.0,ARS-NRPN-2024-MOCCASIN_PLOT2,1.0,1.0,2.0,,,Grain yield - kg/ha|CO_321:0001218,2206.0,,,,ARS-NRPN-2024-MOCCASIN
10165.0,2024.0,238309.0,OVERLAND,1466194.0,ARS-NRPN-2024-WINNER_PLOT2,1.0,1.0,2.0,,,Grain yield - kg/ha|CO_321:0001218,4300.1,,,,ARS-NRPN-2024-WINNER
10171.0,2024.0,238309.0,OVERLAND,1466467.0,ARS-NRPN-2024-DAKOTA_LAKES_PLOT2,1.0,1.0,2.0,,,Grain yield - kg/ha|CO_321:0001218,3757.33,,,,ARS-NRPN-2024-DAKOTA_LAKES
8206.0,2020.0,1284384.0,SY_WOLVERINE,1284412.0,UMN-WHEAT-2020-LAMBERTON_PLOT15,1.0,1.0,15.0,1.0,15.0,Grain yield - kg/ha|CO_321:0001218,5444.32013496437,,,,UMN-WHEAT-2020-LAMBERTON
8206.0,2020.0,234886.0,IDEAL,1284422.0,UMN-WHEAT-2020-LAMBERTON_PLOT5,1.0,1.0,5.0,1.0,5.0,Grain yield - kg/ha|CO_321:0001218,6130.25202721752,,,,UMN-WHEAT-2020-LAMBERTON
