germplasmName,value
MN22120,5521.225
MN22058,5675.9
MN21143-4,5104.275
MN22261,5709.525
SHELLY,5790.225
MN22216,5447.25
MN22253,4727.675
MN22286,5292.575
MN21337-1,5702.8
MN22375,4909.25
MN22054,4801.65
MN22064,4983.225
LINKERT,4714.225
MN21269-2,4922.7
MN22416,5299.3
MN22046,5796.95
MN22262,5790.225
MN22335,4768.025
MN-ROTHSAY,5030.3
MN22263,5184.975
MN22358,5292.575
MN22227,5218.6
MN22349,4438.5
MN22160,4889.075
MN22123,5104.275
MN22301,4936.15
MN-TORGY,5158.075
MN22369,5904.55
MN22419,5561.575
MN21272-2,5326.2
MN22399,5810.4
MN21065-2,5682.625
LINKERT,5090.825
MN22385,5608.65
MN22157,5104.275
MN22155,5232.05
MN21292-2,5662.45
MN21172-3,5480.875
MN22194,5131.175
MN22258,4465.4
SHELLY,5736.425
MN22303,5810.4
MN21405-3,5171.525
MN22063,5380.0
MN22464,5023.575
MN22113,5817.125
MN22009,5776.775
MN21168-1,5897.825
MN22428,5285.85
MN22378,5090.825
MN22099,5601.925
MN21263-3,5373.275
MN22182,4754.575
MN22326,5205.15
MN22374,5837.3
MN22306,5568.3
MN21114-1,5252.225
MN21316-3,5164.8
MN22367,5796.95
MN21045-1,4317.45
MN22071,5272.4
MN21354-3,5366.55
MN22128,4983.225
MN22070,4499.025
MN22276,5225.325
MN-ROTHSAY,5319.475
MN21290-2,5097.55
MN22406,5238.775
MN22151,4579.725
MN22248,5131.175
MN22408,5729.7
MN-ROTHSAY,5339.65
MN22169,4989.95
MN22200,5252.225
MN-TORGY,5111.0
MN22427,5090.825
MN22186,5003.4
MN22401,4862.175
MN22065,5501.05
MN22275,5097.55
MN22345,5944.9
MN22329,5830.575
MN22365,5615.375
MN22400,5850.75
MN22376,6018.875
MN22297,5601.925
MN-TORGY,5292.575
MN22022,4909.25
MN22061,5763.325
MN22106,5480.875
MN22016,4465.4
MN21150-3,5151.35
MN22167,5131.175
SHELLY,5669.175
MN-TORGY,5292.575
MN21089-4,6435.825
MN22241,5299.3
MN22229,6113.025
MN22228,5494.325
MN21385-1,6516.525
MN22302,4895.8
MN-TORGY,4989.95
MN21144-1,6523.25
MN22395,5272.4
MN22092,5749.875
MN22093W,5844.025
MN22341,6092.85
MN-ROTHSAY,5568.3
MN22193,4963.05
MN22259,5131.175
MN22225,4801.65
MN22405,4882.35
MN21357-5,5696.075
MN22125,5655.725
MN22118,5649.0
MN22025,5924.725
MN22141,5501.05
MN21087-1,5911.275
MN22154,5218.6
MN-ROTHSAY,5353.1
MN22309,6126.475
MN21073-3,5931.45
MN22086,5453.975
MN21034-3,6146.65
MN22103,5211.875
MN22097,0.0
MN22314,5770.05
MN21370-2,5635.55
MN22322,5951.625
MN22146,5312.75
MN22373,5447.25
MN22342,5568.3
MN22344,5790.225
LINKERT,5359.825
MN22089,4882.35
MN-TORGY,5164.8
MN22452,4936.15
MN22130,5057.2
MN22273,4815.1
MN22140,4209.85
MN22221,4680.6
MN-ROTHSAY,5043.75
MN21275-4,5622.1
MN22285,5124.45
MN22418,4868.9
MN22006,5568.3
MN22288,5453.975
MN21287-2,5232.05
MN22429,5460.7
MN22126,4929.425
MN21090-4,6173.55
MN22319,5373.275
MN22356,5924.725
MN22207,4936.15
MN22249,5669.175
MN21413-3,5501.05
MN22199,6092.85
MN22360,5554.85
MN21406-1,5211.875
MN22455,5689.35
LINKERT,5131.175
MN-TORGY,5090.825
MN22313,4788.2
MN21315-1,5164.8
MN22384,5413.625
MN21135-2,5205.15
MN22085,6180.275
MN22457,5756.6
MN22433,5527.95
MN22393,5527.95
SHELLY,5803.675
MN22206,5978.525
MN22213,4808.375
MN22101,5662.45
MN21053-1,5279.125
MN22218,5339.65
MN22355,5292.575
LINKERT,5514.5
MN22018,5675.9
MN21005-4,5743.15
MN21444-3,5642.275
MN22131,5635.55
MN22271,5971.8
MN22195,5420.35
MN22278,5521.225
MN22080,5427.075
MN22219,5595.2
MN22183,5548.125
MN22222,4902.525
MN22357,5682.625
MN22136,0.0
MN22350,5776.775
MN22201,5649.0
MN21482-1,4492.3
MN22212,5413.625
MN22196,5884.375
SHELLY,5877.65
MN-ROTHSAY,5622.1
MN22269,5131.175
MN21332-3,5924.725
