germplasmName,study_db_id,value,studyName
MN21213,10725,6469.8,AY3-8_YIELD_CRK-MN_2022
MN21493,10725,6798.1,AY3-8_YIELD_CRK-MN_2022
MN21287,10725,6425.7,AY3-8_YIELD_CRK-MN_2022
UMN09,10725,6048.8,AY3-8_YIELD_CRK-MN_2022
MN21346,10725,6625.7,AY3-8_YIELD_CRK-MN_2022
MN21475,10725,4912.6,AY3-8_YIELD_CRK-MN_2022
MN21463,10725,6223.5,AY3-8_YIELD_CRK-MN_2022
MN21014,10725,7129.2,AY3-8_YIELD_CRK-MN_2022
SHELLY,10725,7143.1,AY3-8_YIELD_CRK-MN_2022
MN21444,10725,6974.4,AY3-8_YIELD_CRK-MN_2022
MN21329,10725,6291.2,AY3-8_YIELD_CRK-MN_2022
MN21089,10725,7070.3,AY3-8_YIELD_CRK-MN_2022
MN21266,10725,6486.9,AY3-8_YIELD_CRK-MN_2022
MN-Torgy,10725,7096.9,AY3-8_YIELD_CRK-MN_2022
MN21210,10725,6696.8,AY3-8_YIELD_CRK-MN_2022
MN21164,10725,6869.0,AY3-8_YIELD_CRK-MN_2022
MN21045,10725,6771.8,AY3-8_YIELD_CRK-MN_2022
MN21332,10725,6956.1,AY3-8_YIELD_CRK-MN_2022
MN-ROTHSAY,10725,7299.1,AY3-8_YIELD_CRK-MN_2022
MN21389,10725,6389.3,AY3-8_YIELD_CRK-MN_2022
MN21012,10725,5889.5,AY3-8_YIELD_CRK-MN_2022
MN21081,10725,6618.8,AY3-8_YIELD_CRK-MN_2022
MN21150,10725,6740.5,AY3-8_YIELD_CRK-MN_2022
MN-ROTHSAY,10725,6558.7,AY3-8_YIELD_CRK-MN_2022
MN21243,10725,6327.4,AY3-8_YIELD_CRK-MN_2022
MN21295,10725,6585.8,AY3-8_YIELD_CRK-MN_2022
MN21274,10725,6135.2,AY3-8_YIELD_CRK-MN_2022
MN21010,10725,5666.9,AY3-8_YIELD_CRK-MN_2022
MN-Torgy,10725,6632.9,AY3-8_YIELD_CRK-MN_2022
MN21064,10725,5845.8,AY3-8_YIELD_CRK-MN_2022
MN21290,10725,6147.3,AY3-8_YIELD_CRK-MN_2022
MN21002,10725,5979.2,AY3-8_YIELD_CRK-MN_2022
MN21041,10725,6090.4,AY3-8_YIELD_CRK-MN_2022
SHELLY,10725,6056.8,AY3-8_YIELD_CRK-MN_2022
MN21485,10725,5081.4,AY3-8_YIELD_CRK-MN_2022
MN21074,10725,5760.6,AY3-8_YIELD_CRK-MN_2022
MN21438,10725,5842.3,AY3-8_YIELD_CRK-MN_2022
MN21162,10725,6273.1,AY3-8_YIELD_CRK-MN_2022
MN-Torgy,10725,7043.1,AY3-8_YIELD_CRK-MN_2022
MN21489,10725,6134.9,AY3-8_YIELD_CRK-MN_2022
MN21035,10725,5903.7,AY3-8_YIELD_CRK-MN_2022
MN21167,10725,6760.2,AY3-8_YIELD_CRK-MN_2022
MN21132,10725,6016.4,AY3-8_YIELD_CRK-MN_2022
MN21504,10725,6601.0,AY3-8_YIELD_CRK-MN_2022
MN-ROTHSAY,10725,6656.9,AY3-8_YIELD_CRK-MN_2022
MN21491,10725,6724.2,AY3-8_YIELD_CRK-MN_2022
MN21354,10725,6865.7,AY3-8_YIELD_CRK-MN_2022
MN21101,10725,5753.9,AY3-8_YIELD_CRK-MN_2022
MN21024,10725,6273.5,AY3-8_YIELD_CRK-MN_2022
MN-Torgy,10725,7237.9,AY3-8_YIELD_CRK-MN_2022
MN21292,10725,6266.4,AY3-8_YIELD_CRK-MN_2022
MN21327,10725,6627.8,AY3-8_YIELD_CRK-MN_2022
MN21302,10725,6024.0,AY3-8_YIELD_CRK-MN_2022
MN21069,10725,7120.3,AY3-8_YIELD_CRK-MN_2022
UMN09,10725,6019.7,AY3-8_YIELD_CRK-MN_2022
MN21429,10725,6663.5,AY3-8_YIELD_CRK-MN_2022
MN21082,10725,5998.7,AY3-8_YIELD_CRK-MN_2022
MN21466,10725,6779.5,AY3-8_YIELD_CRK-MN_2022
MN21135,10725,6973.9,AY3-8_YIELD_CRK-MN_2022
SHELLY,10725,6946.6,AY3-8_YIELD_CRK-MN_2022
MN21264,10725,6314.8,AY3-8_YIELD_CRK-MN_2022
MN21217,10725,5618.9,AY3-8_YIELD_CRK-MN_2022
MN-Torgy,10725,6507.5,AY3-8_YIELD_CRK-MN_2022
MN21230,10725,5807.3,AY3-8_YIELD_CRK-MN_2022
MN21028,10725,6654.6,AY3-8_YIELD_CRK-MN_2022
MN21059,10725,5896.9,AY3-8_YIELD_CRK-MN_2022
MN21073,10725,6168.8,AY3-8_YIELD_CRK-MN_2022
SHELLY,10725,6711.6,AY3-8_YIELD_CRK-MN_2022
MN21161,10725,6239.6,AY3-8_YIELD_CRK-MN_2022
MN21071,10725,6525.7,AY3-8_YIELD_CRK-MN_2022
MN21268,10725,6394.8,AY3-8_YIELD_CRK-MN_2022
MN21300,10725,6180.5,AY3-8_YIELD_CRK-MN_2022
UMN09,10725,5812.0,AY3-8_YIELD_CRK-MN_2022
MN21226,10725,5926.8,AY3-8_YIELD_CRK-MN_2022
MN21415,10725,6325.6,AY3-8_YIELD_CRK-MN_2022
MN21087,10725,6222.6,AY3-8_YIELD_CRK-MN_2022
MN21487,10725,6637.9,AY3-8_YIELD_CRK-MN_2022
MN-ROTHSAY,10725,6412.6,AY3-8_YIELD_CRK-MN_2022
MN21080,10725,6447.2,AY3-8_YIELD_CRK-MN_2022
MN21114,10725,6160.3,AY3-8_YIELD_CRK-MN_2022
UMN09,10725,6140.1,AY3-8_YIELD_CRK-MN_2022
MN21097,10725,7170.7,AY3-8_YIELD_CRK-MN_2022
MN21013,10725,6013.6,AY3-8_YIELD_CRK-MN_2022
MN21110,10725,6914.6,AY3-8_YIELD_CRK-MN_2022
MN21486,10725,6248.5,AY3-8_YIELD_CRK-MN_2022
SHELLY,10725,7310.5,AY3-8_YIELD_CRK-MN_2022
MN21381,10725,6584.2,AY3-8_YIELD_CRK-MN_2022
MN21004,10725,6261.2,AY3-8_YIELD_CRK-MN_2022
MN21386,10725,5817.7,AY3-8_YIELD_CRK-MN_2022
