germplasmName,value
P0762A1-2-8,3848.93994589595
22PU-1305,3437.20554116006
22PU-1248,4328.90484395308
22PU-1099,3242.0779517341
22PU-1427,2847.104176398
B732,3559.91134306656
22PU-1047,3046.5575778625
P0762A1-2-8,3714.6157132948
22PU-1176,3802.65013769816
22PU-1347,3920.09168344739
22PU-1404,3278.39750346225
B722,4831.03684518972
22PU-1031,3636.8064748142
22PU-1250,4076.61943121387
22PU-1220,3324.84186589595
BECK726,4750.02342563285
22PU-1031,3584.08233598266
22PU-1101,3385.7271944807
22PU-1028,3859.57592601156
22PU-1342,3419.71458959538
22PU-1217,3702.39658265896
B732,4379.18316763006
22PU-1048,3727.45260183611
22PU-1047,2388.28877953511
22PU-1401,3365.14857710983
VA11W-108,4349.28109499227
22PU-1305,3899.49008743111
22PU-1047,3051.36184971098
22PU-1391,3856.54850982659
22PU-1427,3635.29395201525
22PU-1193,3468.34670121587
P0762A1-2-8,4737.16570914113
22PU-1172,3694.24467626071
22PU-1155,4176.17763088668
22PU-1172,3289.67586994869
22PU-0108,4220.92555810679
22PU-1379,3262.29297245835
22PU-1412,3889.17276763006
BECK726,3493.16113222056
22PU-1099,3314.29893179191
22PU-1345,2850.47332108641
B722,4385.87427052023
22PU-1080,4466.38973984453
22PU-1248,3531.54768554913
22PU-1081,4329.36641123039
22PU-1048,2852.87281387283
22PU-1322,3552.74458345169
22PU-1101,2718.76340809249
22PU-1155,3097.68859877787
22PU-1342,2491.90603967505
22PU-1379,3354.71822642274
22PU-1080,3190.10846218938
B722,3717.80278065964
B722,3983.39695753081
22PU-1081,4442.84602897553
22PU-1193,3007.5820970301
22PU-1322,3309.93427032345
22PU-1347,2718.76340809249
22PU-1391,3423.53427811103
BECK726,3676.4365707539
22PU-1412,4036.81503163006
22PU-1427,3070.48924944994
22PU-1176,4033.82901701073
BECK726,3692.24191040462
22PU-1217,3217.86007238
22PU-1250,4077.2530318342
22PU-1345,3151.67486518242
22PU-1401,2247.42647485989
22PU-1404,2575.02791151919
22PU-0108,3325.4818731919
22PU-1322,2943.74661156069
22PU-1193,3295.47079768786
22PU-1391,3694.10454104046
BECK726,3515.67299263006
B732,3645.65009373055
22PU-1048,3070.66889710983
B722,5037.62053179191
22PU-1401,3356.49803468208
22PU-1412,3100.59413641618
BECK726,2973.91063745903
22PU-1404,2574.44035384369
22PU-1345,2400.7224594391
22PU-1248,3131.26973485393
22PU-1099,2913.50836820809
22PU-1217,2536.3672337998
VA11W-108,3995.64174354938
22PU-1081,3389.04824851762
22PU-1047,3816.29633608588
22PU-1031,4198.89837178671
22PU-1220,2683.45201858012
22PU-1379,3382.41408554913
B722,3850.03385448443
22PU-1305,3231.73427976879
VA11W-108,3346.79661965318
22PU-1080,3079.83666589595
22PU-1101,2797.4172199422
22PU-1028,3121.14118545044
22PU-1347,3337.1064691425
22PU-1028,3947.75070520231
B732,3973.36059364162
22PU-1427,2953.07636572594
22PU-1172,3102.18430323453
22PU-1155,3212.51050464079
22PU-1250,3221.31979897383
22PU-0108,3591.32119595376
22PU-1176,3282.66328786127
22PU-1342,3125.66353699422
22PU-1099,2959.69019857192
P0762A1-2-8,3713.76037415029
22PU-0108,4106.52249423958
22PU-1404,3228.53440098721
22PU-1176,3359.78810952501
22PU-1345,2825.52721399679
22PU-1379,3204.81993486656
22PU-1412,3392.56704739884
22PU-1391,3325.70447473087
22PU-1401,2450.03338404227
B722,4494.6149549133
22PU-1220,3055.62284308473
22PU-1193,3527.10907637437
22PU-1347,4168.4763253403
BECK726,5391.05222801245
22PU-1101,3230.81750289017
22PU-1028,3347.52498888395
22PU-1080,3806.41190315192
VA11W-108,4111.56641849711
22PU-1305,3791.14818106438
22PU-1081,4386.07951907514
22PU-1250,4351.20106906747
22PU-1248,3292.53830895954
22PU-1342,3937.93982427746
22PU-1322,3459.94998110813
22PU-1155,3561.49701925107
22PU-1048,3038.98719740589
B722,5351.99342801245
22PU-1217,2618.4496114095
22PU-1220,2844.74497109827
22PU-1172,3870.67964221602
BECK726,3980.34262667684
22PU-1031,4677.72922256328
MI22R238,5560.31
MI22R154,5930.19
SY 100,5514.58
MI20R0012,6010.22
MI22R115,5577.13
MI22R097,6712.32
MI20R0096,7686.79
MI22R110,6069.4
MI22R057,7200.56
MI21R0054,5996.77
MI22R227,6056.63
MI20R0210,6492.41
MI22R135,6648.43
MI22R144,7254.37
MI22W212,7150.13
MI21W0040,6601.36
MI20W0120,6821.27
MI22R136,5981.3
MI22R026,5920.11
MI22R090,7867.02
MI21R0058,5843.44
MI22R207,7052.61
MI22W191,6822.61
MI22R224,6655.83
KWS490,6935.6
MI21R0089,7103.72
MI22R098,4251.61
MI22R173,6722.41
MI22W193,6798.4
MI22R225,6440.63
MI22R182,7119.86
MI22R187,5177.65
KWS317,8814.59
MI22R142,6501.15
MI22R112,7271.18
MI22W213,6517.29
MI22R109,5157.48
MI20R0013,5706.92
MI22R145,6867.67
P25R64,6979.31
PIONEER25R40,5606.04
MI21R0051,6087.56
MI22W181,5534.08
MI22R075,5814.52
MI22R033,5316.19
MI22R134,5760.72
MI22R236,6866.33
MI22W196,5759.38
MI20R0096,7766.82
MI22R225,5501.13
MI22R109,6591.94
SY 100,5744.58
MI22W181,5650.43
MI21R0058,5934.9
MI22R142,5623.53
MI22R135,6347.15
MI22R227,5228.09
MI22R134,5036.43
MI22R098,4023.63
MI22R115,5993.41
MI22R144,5796.36
MI20W0120,6669.28
MI22R236,6092.94
MI22R112,6501.15
MI21R0089,6735.86
MI20R0210,6618.17
MI20R0013,6230.13
MI22R097,6986.03
MI22W191,5401.6
MI21W0040,4860.23
MI22R136,6163.55
MI22W213,6772.18
MI22R173,5568.38
MI22R182,6107.74
MI22R110,5806.45
MI22R145,6922.82
MI20R0012,5892.53
MI22R207,6018.96
PIONEER25R40,7643.08
MI22R187,5157.48
MI22W196,5616.8
MI22R057,7062.03
KWS317,6988.05
MI22R026,5503.15
MI22R033,5477.59
KWS490,7175.68
MI22R090,6764.11
MI21R0054,4377.37
MI22R224,5386.13
MI22R238,6156.83
MI22R075,5583.85
MI22W212,6516.62
MI22R154,5486.34
P25R64,7087.58
MI22W193,5236.84
MI21R0051,5710.95
MI22R110,5663.21
MI22W191,5723.73
MI22R098,5456.75
MI22R057,5673.29
MI22R227,6390.86
MI22R136,6750.66
MI22R134,4839.38
MI22R238,5538.12
MI22W181,4927.48
MI20R0096,6021.65
MI22R187,6231.48
PIONEER25R40,5994.08
MI22W213,6418.44
MI22R236,6153.47
MI22R154,6562.35
MI22W212,6867.0
MI22R135,6069.4
MI22R224,5491.72
KWS317,5550.23
MI21R0058,5563.68
MI22R112,6111.1
MI21W0040,6193.14
MI22R075,6047.21
MI22W193,6226.77
MI22R173,5530.05
MI22R144,5958.44
MI21R0089,6386.83
KWS490,5938.26
MI22R225,6105.72
MI22R097,6514.6
SY 100,6473.58
MI22R145,6945.68
MI20R0013,6485.69
MI22R115,6460.8
MI21R0054,5940.28
MI20R0210,6423.14
MI22R026,6117.15
MI22R033,6372.03
MI22R109,6499.81
MI22W196,5181.02
MI22R207,5790.31
MI20R0012,4129.21
MI21R0051,6675.33
P25R64,6141.36
MI20W0120,5475.58
MI22R182,5653.12
MI22R090,5002.8
MI22R142,5466.16
MI22W193,5690.78
MI22R098,5126.54
MI22R026,4812.48
MI22R238,6267.79
MI21R0058,6306.8
MI22R090,6298.06
MI22W181,5250.29
MI22R115,5691.45
MI21W0040,5447.33
MI22R142,6185.75
MI22R057,5767.45
MI22R109,6174.99
MI22R225,6012.24
MI22R144,6672.64
MI21R0054,7136.68
MI22R187,6109.08
P25R64,6382.79
MI22R154,6404.99
MI22R033,5987.36
MI22R136,5591.25
MI21R0051,5717.68
MI22R236,5544.84
MI21R0089,5403.62
MI22R097,5563.68
MI22W213,5544.84
MI20R0012,5229.44
MI22R145,5423.79
MI22R227,5649.76
MI20W0120,4773.48
MI22R224,5752.65
MI20R0096,6369.34
MI22W191,7166.94
PIONEER25R40,6596.65
KWS490,5226.75
KWS317,7170.3
MI20R0013,5516.6
MI22W212,6944.34
MI22R112,6940.3
MI22W196,6663.9
MI22R134,6238.88
MI22R135,5146.72
MI22R110,5793.67
MI22R075,6111.77
MI22R182,6373.38
MI22R173,5969.87
MI20R0210,5311.48
MI22R207,4920.08
SY 100,5546.86
MI20W0120,6585.22
MI22R075,6345.13
MI22R033,6180.37
MI22W193,6460.8
P25R64,6667.26
MI21R0054,6972.58
MI22R090,6298.06
MI22R135,7092.29
MI22R026,7509.25
MI22R098,6678.02
MI22R224,6207.27
MI22W196,6629.6
MI22R182,7252.35
MI21R0051,8271.2
MI22R145,7881.82
MI20R0013,7345.15
MI22R173,6986.71
MI20R0096,6729.81
MI22R207,7115.16
SY 100,7854.24
KWS317,7117.85
MI22W213,6305.45
MI22R225,6729.81
MI22R110,7252.35
MI22R136,7314.22
MI21R0058,6649.11
MI22R144,6094.96
MI22R057,6647.09
MI22R236,6647.76
MI22R227,6338.41
MI22R142,6644.4
MI22R154,5686.74
MI22W191,5694.14
MI21W0040,6661.21
MI21R0089,6817.91
PIONEER25R40,7070.77
MI22R112,5982.65
MI20R0210,6030.4
MI22W212,6243.58
MI22R238,6528.73
MI22R187,6484.34
MI22R115,6002.82
MI22W181,6795.04
