germplasmName,value
WA 8427 CL+,6534.46
SWW15312-1-S-35-1-1,5577.27
Jasper,5296.07
LCS Shine,3800.43
SWW16381-1-1-1-1,3585.23
WA 8447,4846.3
SWW16392-1-1-1-4,5585.05
WA 8426,4338.43
Sockeye CL+,4738.46
SWW15107-1-1-1-4,5069.38
SWW15312-1-S-35-1-1,4856.48
SWW15509-1-1-1-1,6431.34
SWW15495-1-1-1-1,6422.38
WA 8418,6603.95
Jasper,6107.38
WA 8419,4573.0
IMISWW16458-1-1-1-2,5216.45
WA 8426,4153.36
Nova AX,5724.32
SWW16422-1-1-1-5,5061.5
WA 8440,6115.98
SY Dayton,4407.3
WA 8451 MZ,5373.54
SWW16392-1-1-1-4,6839.06
WA 8345 AX,6750.82
WA 8405,6604.49
SWW15107-1-1-1-4,5831.92
Norwest Tandem,5745.84
WA 8447,6458.15
LCS Shine,6047.12
MAS14049-B-25-1-1,4015.63
Sockeye CL+,6828.3
WA 8397,4600.98
SY Assure,4796.81
WA 8450,5745.84
WA 8404,7981.77
WA 8448,6339.79
SWW16370-1-1-1-7,4835.54
SWW16381-1-1-1-1,4600.98
SWW16370-1-1-1-7,4004.87
SWW15509-1-1-1-1,4962.51
SY Dayton,4758.07
SWW16307-1-S-80-1-2,6482.9
WA 8446 CL+,4396.54
LCS Shine,4758.07
WA 8404,5373.54
SWW16381-1-1-1-1,3342.06
IMISWW16458-1-1-1-2,4299.7
WA 8419,3722.96
SWW16330-1-S-23-1-1,4562.24
WA 8450,4631.1
WA 8397,5334.81
Piranha CL+,4220.07
WA 8446 CL+,6655.51
WA 8405,5149.74
MAS14049-B-25-1-1,4484.77
Norwest Tandem,4073.74
SWW15312-1-S-86-1-1,4153.36
SY Assure,3918.79
SWW15312-1-S-35-1-1,3585.23
WA 8427 CL+,2881.53
WA 8345 AX,4415.9
WA 8448,4669.84
Jasper,5451.02
Piranha CL+,6370.82
SWW16422-1-1-1-5,5392.91
WA 8440,4446.03
SWW16307-1-S-80-1-2,4699.97
SWW16392-1-1-1-4,4854.91
SWW15107-1-1-1-4,4153.36
WA 8426,3604.6
WA 8441,3557.26
WA 8418,2881.53
Nova AX,3488.39
WA 8447,4573.0
WA 8441,8374.87
SWW15495-1-1-1-1,4112.47
Sockeye CL+,3770.3
WA 8451 MZ,4024.24
SWW16370-1-1-1-7,4338.43
WA 8450,3135.46
SWW16422-1-1-1-5,4045.76
SWW15495-1-1-1-1,4142.6
SY Assure,2881.53
SWW16330-1-S-23-1-1,3535.74
WA 8440,3966.14
SWW15312-1-S-86-1-1,8070.0
Nova AX,3623.97
WA 8345 AX,3897.27
WA 8418,3826.53
Piranha CL+,3019.26
IMISWW16458-1-1-1-2,3918.79
SY Dayton,4338.43
WA 8404,5754.45
WA 8397,6077.25
WA 8441,4915.17
Norwest Tandem,3488.39
SWW16330-1-S-23-1-1,6471.69
WA 8427 CL+,3389.4
MAS14049-B-25-1-1,3615.36
WA 8448,3918.79
WA 8446 CL+,3869.3
SWW15312-1-S-86-1-1,4181.34
SWW15509-1-1-1-1,4708.58
WA 8451 MZ,4923.78
WA 8405,5089.48
SWW16307-1-S-80-1-2,4600.98
WA 8419,4288.94
Jasper,3612.75
SWW16371-1-S-65-1-1,3774.15
WA 8345 AX,3759.48
WA 8417,3456.24
WA 8438,4537.13
SWW16110-1-1-1-3,3316.04
SWW16454-1-7-1-1,3278.54
Norwest Duet,3966.53
SWW16236-1-1-1-4,4004.02
WA 8404,4175.21
SWW13292-B-B-B-4,3744.81
SWW16392-1-1-1-5,4996.88
SWW16454-1-7-1-1,3598.62
SWW16424-1-13-1-1,2716.08
SWW15196-1-1-1-2,2649.24
LCS Hulk,4892.54
Sockeye CL+,4079.02
SWW16371-1-S-65-1-1,3456.24
SWW15309-1-S-15-1-1,3901.32
SWW15107-1-1-1-4,5335.98
WA 8420 AX,5358.81
Jameson,4641.47
Devote,4478.44
SWW15107-1-1-1-4,4211.07
MAS14075-B-B-2-2,4275.78
SWW15312-1-S-86-1-1,3403.28
Nova AX,4761.73
WA 8442,4792.47
WA 8421 CL+,4420.14
WA 8364,3660.11
SWW15509-1-14-1-1,3450.03
WA 8417,4175.21
Nova AX,3404.07
SWW16300-1-1-1-3,3923.13
SWW13292-B-B-B-4,3219.85
SWW16424-1-13-1-1,3272.02
SWW15317-1-24-1-1,3612.75
Devote,2471.54
Windust,3648.62
LCS Hulk,3130.18
Norwest Duet,3190.5
WA 8404,3596.45
WA 8345 AX,3723.61
WA 8442,4802.87
SWW15196-1-1-1-2,3161.16
SWW16110-1-1-1-4,3907.84
SWW15509-1-14-1-1,3338.86
WA 8394,3523.08
WA 8451 MZ,3102.47
WA 8397,4336.61
SWW15309-1-S-15-1-1,3125.78
Piranha CL+,3459.08
SWW15312-1-S-86-1-1,3843.61
MAS14075-B-B-2-2,4549.19
Rollie,2995.16
LCS Shine,3067.48
WA 8421 CL+,3796.98
SWW16222-1-1-1-1,3834.47
SWW16377-1-1-1-9,3619.27
WA 8364,4884.39
Jameson,3966.53
SWW16392-1-1-1-5,4304.0
SWW16236-1-1-1-4,3377.7
WA 8438,2973.81
WA 8442,4309.29
WA 8394,3536.92
WA 8417,4656.3
Nova AX,3675.48
Jasper,3806.99
LCS Shine,2473.09
WA 8364,4087.09
SWW16110-1-1-1-3,3248.5
SWW16110-1-1-1-3,4848.52
Devote,3033.99
Piranha CL+,4470.29
WA 8421 CL+,4537.13
SWW16377-1-1-1-9,4767.01
SWW15312-1-S-86-1-1,3374.73
SWW16300-1-1-1-3,4271.39
WA 8397,3382.88
WA 8420 AX,4129.56
WA 8438,4626.8
WA 8439,3296.32
WA 8404,4396.93
SWW15317-1-24-1-1,4499.64
SWW15196-1-1-1-2,3648.62
Norwest Duet,4403.45
SWW15107-1-1-1-4,4129.56
Sockeye CL+,3612.75
SWW16424-1-13-1-1,3322.56
WA 8451 MZ,3575.25
WA 8345 AX,3723.61
Windust,3130.18
WA 8420 AX,3360.05
LCS Hulk,3901.32
SWW16454-1-7-1-1,3493.74
SWW16110-1-1-1-4,3234.52
SWW15509-1-14-1-1,3027.47
SWW16222-1-1-1-1,3211.7
Jameson,2879.12
WA 8439,3278.54
Rollie,1620.52
MAS14075-B-B-2-2,3829.94
SWW16236-1-1-1-4,3606.18
WA 8416,3886.64
WA 8416,3130.18
SWW15309-1-S-15-1-1,3211.7
SWW13292-B-B-B-4,2057.44
SWW16392-1-1-1-5,2812.27
SWW16371-1-S-65-1-1,3123.66
LCS Shine,2109.3
WA 8451 MZ,2729.28
WA 8397,3027.47
Windust,2619.9
WA 8416,2737.82
Sockeye CL+,4063.18
WA 8394,3040.13
Jasper,3279.24
SWW16377-1-1-1-9,3211.7
Rollie,2561.21
WA 8439,3272.02
Piranha CL+,3316.04
SWW16300-1-1-1-3,3368.21
SWW15317-1-24-1-1,3100.84
SWW16222-1-1-1-1,3805.13
SWW16110-1-1-1-4,4248.57
Jasper,5156.65
SWW16371-1-S-65-1-1,4390.41
WA 8345 AX,4871.35
WA 8417,4708.32
WA 8438,4031.74
SWW16110-1-1-1-3,4259.98
SWW16454-1-7-1-1,4276.28
Norwest Duet,5533.25
SWW16236-1-1-1-4,5590.31
WA 8404,5476.19
SWW13292-B-B-B-4,3770.89
SWW16392-1-1-1-5,4243.68
SWW16454-1-7-1-1,3418.75
SWW16424-1-13-1-1,3426.9
SWW15196-1-1-1-2,4113.25
LCS Hulk,5066.98
Sockeye CL+,5639.22
SWW16371-1-S-65-1-1,4740.92
SWW15309-1-S-15-1-1,4488.22
SWW15107-1-1-1-4,4317.04
WA 8420 AX,4659.41
Jameson,4569.74
Devote,5091.44
SWW15107-1-1-1-4,4023.59
MAS14075-B-B-2-2,6014.19
SWW15312-1-S-86-1-1,5156.65
Nova AX,4879.5
WA 8442,4202.92
WA 8421 CL+,4007.28
WA 8364,5376.74
SWW15509-1-14-1-1,4496.38
WA 8417,4202.92
Nova AX,5050.68
SWW16300-1-1-1-3,5189.25
SWW13292-B-B-B-4,4634.95
SWW16424-1-13-1-1,3214.96
SWW15317-1-24-1-1,4455.62
Devote,5058.83
Windust,4154.01
LCS Hulk,5042.53
Norwest Duet,5712.58
WA 8404,5679.98
WA 8345 AX,5319.68
WA 8442,5319.68
SWW15196-1-1-1-2,4096.95
SWW16110-1-1-1-4,4382.25
SWW15509-1-14-1-1,4015.44
WA 8394,5238.16
WA 8451 MZ,5058.83
WA 8397,4268.13
SWW15309-1-S-15-1-1,4561.59
Piranha CL+,4194.77
SWW15312-1-S-86-1-1,4692.01
MAS14075-B-B-2-2,5492.49
Rollie,3589.93
LCS Shine,6764.13
WA 8421 CL+,4732.77
SWW16222-1-1-1-1,4659.41
SWW16377-1-1-1-9,3950.22
WA 8364,4308.89
Jameson,4170.32
SWW16392-1-1-1-5,4439.32
SWW16236-1-1-1-4,4105.1
WA 8438,5769.64
WA 8442,5433.8
WA 8394,4520.83
WA 8417,4863.19
Nova AX,4838.74
Jasper,5164.8
LCS Shine,5468.04
WA 8364,6136.46
SWW16110-1-1-1-3,4749.07
SWW16110-1-1-1-3,5525.1
Devote,4594.19
Piranha CL+,4651.25
WA 8421 CL+,3836.1
SWW16377-1-1-1-9,3581.78
SWW15312-1-S-86-1-1,4488.22
SWW16300-1-1-1-3,5140.35
WA 8397,6299.49
WA 8420 AX,4626.8
WA 8438,4765.38
WA 8439,5441.95
WA 8404,4317.04
SWW15317-1-24-1-1,4496.38
SWW15196-1-1-1-2,4692.01
Norwest Duet,4936.56
SWW15107-1-1-1-4,5843.01
Sockeye CL+,5484.34
SWW16424-1-13-1-1,3532.87
WA 8451 MZ,4333.35
WA 8345 AX,4667.56
Windust,4023.59
WA 8420 AX,5948.98
LCS Hulk,5875.61
SWW16454-1-7-1-1,5189.25
SWW16110-1-1-1-4,4341.5
SWW15509-1-14-1-1,4170.32
SWW16222-1-1-1-1,3836.1
Jameson,4284.44
WA 8439,5213.71
Rollie,4512.68
MAS14075-B-B-2-2,6046.79
SWW16236-1-1-1-4,4928.41
WA 8416,4993.62
WA 8416,4211.07
SWW15309-1-S-15-1-1,4145.86
SWW13292-B-B-B-4,3942.07
SWW16392-1-1-1-5,4520.83
SWW16371-1-S-65-1-1,5393.04
LCS Shine,5761.49
WA 8451 MZ,4398.56
WA 8397,4520.83
Windust,3705.68
WA 8416,4129.56
Sockeye CL+,4944.71
WA 8394,5761.49
Jasper,5761.49
SWW16377-1-1-1-9,5631.07
Rollie,3827.95
WA 8439,4374.1
Piranha CL+,3844.25
SWW16300-1-1-1-3,3803.5
SWW15317-1-24-1-1,4031.74
SWW16222-1-1-1-1,5688.13
