study_db_id,season,germplasm_db_id,germplasmName,observation_unit_db_id,observation_unit_name,rep,block,plot,row,column,observation_variable_name,value,project_id,file_name,download_url,studyName
10981.0,2023.0,1468891.0,Sockeye CL+,1653737.0,SP_SWW_2023_Pullman_PLOT101,1.0,1.0,101.0,8.0,12.0,Grain yield - kg/ha|CO_321:0001218,6566.0,,,,SP_SWW_2023_Pullman
10981.0,2023.0,1468871.0,LCS Shine,1653756.0,SP_SWW_2023_Pullman_PLOT111,1.0,1.0,111.0,8.0,2.0,Grain yield - kg/ha|CO_321:0001218,6097.0,,,,SP_SWW_2023_Pullman
10981.0,2023.0,1463571.0,Jasper,1653741.0,SP_SWW_2023_Pullman_PLOT141,1.0,1.0,141.0,11.0,1.0,Grain yield - kg/ha|CO_321:0001218,6298.0,,,,SP_SWW_2023_Pullman
10981.0,2023.0,1468884.0,Piranha CL+,1653699.0,SP_SWW_2023_Pullman_PLOT151,1.0,1.0,151.0,11.0,11.0,Grain yield - kg/ha|CO_321:0001218,7370.0,,,,SP_SWW_2023_Pullman
10981.0,2023.0,1468891.0,Sockeye CL+,1653697.0,SP_SWW_2023_Pullman_PLOT161,1.0,1.0,161.0,12.0,8.0,Grain yield - kg/ha|CO_321:0001218,7504.0,,,,SP_SWW_2023_Pullman
10981.0,2023.0,1468871.0,LCS Shine,1653727.0,SP_SWW_2023_Pullman_PLOT171,1.0,1.0,171.0,13.0,3.0,Grain yield - kg/ha|CO_321:0001218,7102.0,,,,SP_SWW_2023_Pullman
10981.0,2023.0,1463571.0,Jasper,1653780.0,SP_SWW_2023_Pullman_PLOT201,1.0,1.0,201.0,15.0,5.0,Grain yield - kg/ha|CO_321:0001218,8107.0,,,,SP_SWW_2023_Pullman
10981.0,2023.0,1463571.0,Jasper,1653802.0,SP_SWW_2023_Pullman_PLOT21,1.0,1.0,21.0,2.0,8.0,Grain yield - kg/ha|CO_321:0001218,6365.0,,,,SP_SWW_2023_Pullman
10981.0,2023.0,1468884.0,Piranha CL+,1653813.0,SP_SWW_2023_Pullman_PLOT211,1.0,1.0,211.0,16.0,14.0,Grain yield - kg/ha|CO_321:0001218,7772.0,,,,SP_SWW_2023_Pullman
10981.0,2023.0,1468891.0,Sockeye CL+,1653858.0,SP_SWW_2023_Pullman_PLOT221,1.0,1.0,221.0,16.0,4.0,Grain yield - kg/ha|CO_321:0001218,6298.0,,,,SP_SWW_2023_Pullman
10981.0,2023.0,1468871.0,LCS Shine,1653889.0,SP_SWW_2023_Pullman_PLOT231,1.0,1.0,231.0,17.0,7.0,Grain yield - kg/ha|CO_321:0001218,6231.0,,,,SP_SWW_2023_Pullman
10981.0,2023.0,1468884.0,Piranha CL+,1653807.0,SP_SWW_2023_Pullman_PLOT31,1.0,1.0,31.0,3.0,3.0,Grain yield - kg/ha|CO_321:0001218,6365.0,,,,SP_SWW_2023_Pullman
10981.0,2023.0,1468891.0,Sockeye CL+,1653724.0,SP_SWW_2023_Pullman_PLOT41,1.0,1.0,41.0,3.0,13.0,Grain yield - kg/ha|CO_321:0001218,7035.0,,,,SP_SWW_2023_Pullman
10981.0,2023.0,1468871.0,LCS Shine,1653728.0,SP_SWW_2023_Pullman_PLOT51,1.0,1.0,51.0,4.0,6.0,Grain yield - kg/ha|CO_321:0001218,6030.0,,,,SP_SWW_2023_Pullman
10981.0,2023.0,1463571.0,Jasper,1653864.0,SP_SWW_2023_Pullman_PLOT81,1.0,1.0,81.0,6.0,4.0,Grain yield - kg/ha|CO_321:0001218,7236.0,,,,SP_SWW_2023_Pullman
10981.0,2023.0,1468884.0,Piranha CL+,1653899.0,SP_SWW_2023_Pullman_PLOT91,1.0,1.0,91.0,7.0,7.0,Grain yield - kg/ha|CO_321:0001218,6968.0,,,,SP_SWW_2023_Pullman
10724.0,2022.0,1468865.0,Devote,1581650.0,AWY1_SWW_2022_Davenport_PLOT103,3.0,3.0,103.0,15.0,5.0,Grain yield - kg/ha|CO_321:0001218,2881.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468891.0,Sockeye CL+,1581722.0,AWY1_SWW_2022_Davenport_PLOT108,3.0,3.0,108.0,16.0,5.0,Grain yield - kg/ha|CO_321:0001218,4221.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1463571.0,Jasper,1581599.0,AWY1_SWW_2022_Davenport_PLOT109,3.0,3.0,109.0,16.0,4.0,Grain yield - kg/ha|CO_321:0001218,4556.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468871.0,LCS Shine,1581668.0,AWY1_SWW_2022_Davenport_PLOT11,1.0,1.0,11.0,2.0,4.0,Grain yield - kg/ha|CO_321:0001218,4690.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468871.0,LCS Shine,1581710.0,AWY1_SWW_2022_Davenport_PLOT110,3.0,3.0,110.0,16.0,3.0,Grain yield - kg/ha|CO_321:0001218,3551.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468918.0,WA 8364,1581681.0,AWY1_SWW_2022_Davenport_PLOT114,3.0,3.0,114.0,17.0,2.0,Grain yield - kg/ha|CO_321:0001218,4623.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468915.0,Norwest Duet,1581658.0,AWY1_SWW_2022_Davenport_PLOT116,3.0,3.0,116.0,17.0,4.0,Grain yield - kg/ha|CO_321:0001218,5293.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468884.0,Piranha CL+,1581626.0,AWY1_SWW_2022_Davenport_PLOT118,3.0,3.0,118.0,17.0,6.0,Grain yield - kg/ha|CO_321:0001218,4623.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468870.0,WA 8394,1581715.0,AWY1_SWW_2022_Davenport_PLOT12,1.0,1.0,12.0,2.0,3.0,Grain yield - kg/ha|CO_321:0001218,5360.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468892.0,Windust,1581622.0,AWY1_SWW_2022_Davenport_PLOT120,3.0,3.0,120.0,18.0,7.0,Grain yield - kg/ha|CO_321:0001218,4623.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468870.0,WA 8394,1581673.0,AWY1_SWW_2022_Davenport_PLOT126,3.0,3.0,126.0,18.0,1.0,Grain yield - kg/ha|CO_321:0001218,5025.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468918.0,WA 8364,1581656.0,AWY1_SWW_2022_Davenport_PLOT18,1.0,1.0,18.0,3.0,4.0,Grain yield - kg/ha|CO_321:0001218,4154.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1463571.0,Jasper,1581705.0,AWY1_SWW_2022_Davenport_PLOT20,1.0,1.0,20.0,3.0,6.0,Grain yield - kg/ha|CO_321:0001218,4355.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468884.0,Piranha CL+,1581669.0,AWY1_SWW_2022_Davenport_PLOT25,1.0,1.0,25.0,4.0,4.0,Grain yield - kg/ha|CO_321:0001218,4355.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468891.0,Sockeye CL+,1581684.0,AWY1_SWW_2022_Davenport_PLOT26,1.0,1.0,26.0,4.0,3.0,Grain yield - kg/ha|CO_321:0001218,4891.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468875.0,WA 8345 AX,1581719.0,AWY1_SWW_2022_Davenport_PLOT28,1.0,1.0,28.0,4.0,1.0,Grain yield - kg/ha|CO_321:0001218,5293.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468865.0,Devote,1581672.0,AWY1_SWW_2022_Davenport_PLOT30,1.0,1.0,30.0,5.0,2.0,Grain yield - kg/ha|CO_321:0001218,4757.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468892.0,Windust,1581629.0,AWY1_SWW_2022_Davenport_PLOT4,1.0,1.0,4.0,1.0,4.0,Grain yield - kg/ha|CO_321:0001218,4958.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468915.0,Norwest Duet,1581697.0,AWY1_SWW_2022_Davenport_PLOT40,1.0,1.0,40.0,6.0,3.0,Grain yield - kg/ha|CO_321:0001218,5427.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468865.0,Devote,1581724.0,AWY1_SWW_2022_Davenport_PLOT48,2.0,2.0,48.0,7.0,6.0,Grain yield - kg/ha|CO_321:0001218,5092.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468891.0,Sockeye CL+,1581688.0,AWY1_SWW_2022_Davenport_PLOT54,2.0,2.0,54.0,8.0,3.0,Grain yield - kg/ha|CO_321:0001218,5628.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468871.0,LCS Shine,1581667.0,AWY1_SWW_2022_Davenport_PLOT55,2.0,2.0,55.0,8.0,2.0,Grain yield - kg/ha|CO_321:0001218,5092.0,,,,AWY1_SWW_2022_Davenport
10724.0,2022.0,1468884.0,Piranha CL+,1581628.0,AWY1_SWW_2022_Davenport_PLOT62,2.0,2.0,62.0,9.0,6.0,Grain yield - kg/ha|CO_321:0001218,3484.0,,,,AWY1_SWW_2022_Davenport
