germplasmName,value
IL2021-36639,6509.02
X16-1002-4-11-1-7,6317.55
21PU-0281,7030.41
X17-1078-4-20-1-4,6804.53
21PU-0645,6585.69
SY 100,7546.57
MI20R0013,5717.19
22PU-3126,5920.02
OH21*96-47,6513.93
X15-1141-51-12-5-11,4768.61
22PU-1305,4661.63
X16-1026-46-9-3-1,5683.47
2421,5536.63
21PU-0287,5926.64
X17-1078-4-16-1-7,5240.26
OH21-116-41,6121.58
X15-1071-40-17-5-8,5654.92
X16-1021-131-2-5-8,5966.9
22PU-1047,6170.82
21PU-0284,5947.1
2412,6056.2
NY15141-01-02-01-1830,5679.19
IL16LCSDH-09-T-2664-16,5450.03
IL2021-16452,5948.47
X15-1004-24-4-5-1,6233.9
IL2020-5376,6835.74
HILLIARD,5752.0
IL16LCSDH-09-T-2664-28,5909.0
2260,6590.48
X17-1085-17-11-1-3,6576.73
IL16LCSDH-04-T-2659-3,6836.53
21PU-0295,6488.49
22PU-1322,5276.19
21PU-0286,6702.76
2410,7198.46
IL16LCSDH-10-T-2665-21,6692.72
X17-1039-68-7-1-12,6876.51
NY16068-01-11-1909,5953.93
IL2020-15726,6644.8
2428,6684.83
MI21R0054,6684.31
IL2021-27466,6507.6
NY12302-2-14-01-1441,5013.25
NY12512-1-6-17-1544,4640.18
NY15158-01-01-11-1874,5908.12
X15-1004-24-6-3-7,4304.74
IL16LCSDH-04-T-2659-225,4490.76
X15-1143-59-3-1-4,5922.9
IL16LCSDH-02-T-864-59,5171.05
Dyna-Gro 9422,7430.37
IL2021-17859,7060.1
IL18-23760,6636.63
2425,7215.3
MI20W0120,6706.9
NY15148-01-01-10-1860,6449.43
X14-1006-98-19-1,6884.67
IL2021-13713,6416.6
21PU-0283,6742.78
P2136,6319.03
2407,6932.76
OH20-17-110,6184.23
X17-1413-42-2-5-2,6736.74
22PU-3329,5889.53
2444,6659.32
NY12428-1-12-01-01-1765,5284.71
BECK726,6263.7
21PU-0282,6187.16
MI22R033,6023.18
IL07-19334,6227.46
P25R74,6387.58
NY12311-1-30-10-1452,6102.77
X17-1673-29-3-5-1,6129.26
OH20*4-84,6286.71
OH21-90-2,6574.73
NY16058-01-06-1900,6168.96
X17-1276-30-16-5-4,7046.66
22PU-0104,6852.24
OH20-8-108,6586.1
OH21-15-27,6282.25
X16-1021-13-13-3-5,7220.82
X16-1079-65-13-5-1,6601.85
X17-1633-99-8-1-3,6933.04
IL2020-9945,5894.34
21PU-0286,6795.19
22PU-1427,6180.13
MI21R0058,7086.1
2210,6324.79
NY99056-161-O,5145.47
X17-1096-113-1-1-6,5639.83
IL16LCSDH-09-T-2664-24,4245.49
X17-1584-7-6-1-10,4455.81
IL16LCSDH-09-T-2664-23,4598.89
IL2021-17475,4691.13
OH19*102-76,5989.91
2445,5165.38
X16-1082-62-2-5-11,5933.48
IL2021-16676,6556.38
OH20-17-66,6205.9
IL2021-18124,6198.89
X15-1085-57-9-3-6,6788.37
MI20R0012,5993.47
NY12398-2-16-07-03W-1580,5303.06
OH20-98-32,7119.01
X16-1023-26-19-1-8,6603.28
X17-1078-4-20-1-1,6788.03
IL2021-22316,6892.84
IL16LCSDH-04-T-2659-20,6924.63
IL2021-24241,5572.25
X17-1413-42-2-5-1,7111.85
SY 100,7559.32
IL16LCSDH-06-T-2661-17,7038.08
IL2021-18451,6553.37
MI21W0040,6406.64
OH20-17-3,6424.67
X17-1403-20-1-3-3,6448.89
OH19-161-70,6564.08
MI20R0096,7103.64
X17-1640-114-17-5-7,6585.27
OH20-16-3,6908.01
PIONEER25R40,7160.09
X17-1078-4-20-1-11,7320.58
IL2021-22113,5578.27
MI22W196,6949.32
X17-1469-116-7-1-10,7547.98
OH21-112-104,6352.03
21PU-0290,6997.92
X17-1096-113-1-1-11,6580.4
OH20-17-42,6196.95
IL16LCSDH-07-T-2662-202,7164.79
X17-1096-113-1-1-2,6493.69
22PU-1342,5113.41
MI22R057,7444.22
OH21-91-33,6368.81
NY12351-1-14-20-1484,5798.22
IL2021-35723,5396.04
21PU-0297,5585.34
2448,5267.52
X17-1039-68-7-1-1,4480.25
X16-1086-117-2-5-3,4352.01
OH21-117-72,5336.07
OH20*44-72,5473.82
MI22R109,6096.58
