study_db_id,season,germplasm_db_id,germplasmName,observation_unit_db_id,observation_unit_name,rep,block,plot,row,column,observation_variable_name,value,project_id,file_name,download_url,studyName
10020.0,2023.0,1332907.0,NY12302-2-14-01-1441,1455250.0,23_Big6_SVREC_540337,1.0,1.0,11.0,2.0,75.0,Grain yield - kg/ha|CO_321:0001218,7379.56,,,,23_Big6_SVREC
10020.0,2023.0,1332788.0,NY12302-2-14-08-1442,1454956.0,23_Big6_SVREC_540341,1.0,1.0,120.0,7.0,65.0,Grain yield - kg/ha|CO_321:0001218,6669.5,,,,23_Big6_SVREC
10020.0,2023.0,1334621.0,NY15158-01-01-10-1873,1455061.0,23_Big6_SVREC_540324,1.0,1.0,162.0,10.0,66.0,Grain yield - kg/ha|CO_321:0001218,6921.33,,,,23_Big6_SVREC
10020.0,2023.0,1332843.0,NY12351-1-14-20-1484,1455213.0,23_Big6_SVREC_540336,1.0,1.0,172.0,10.0,76.0,Grain yield - kg/ha|CO_321:0001218,7178.4,,,,23_Big6_SVREC
10020.0,2023.0,1332911.0,NY12007-2-4-13-1381,1455334.0,23_Big6_SVREC_540317,1.0,1.0,174.0,10.0,78.0,Grain yield - kg/ha|CO_321:0001218,7044.71,,,,23_Big6_SVREC
10020.0,2023.0,1334649.0,NY15116-01-06-01-1804,1455227.0,23_Big6_SVREC_540343,1.0,1.0,180.0,10.0,84.0,Grain yield - kg/ha|CO_321:0001218,7368.48,,,,23_Big6_SVREC
10020.0,2023.0,1332843.0,NY12351-1-14-20-1484,1455091.0,23_Big6_SVREC_540335,2.0,1.0,254.0,14.0,78.0,Grain yield - kg/ha|CO_321:0001218,7722.98,,,,23_Big6_SVREC
10020.0,2023.0,1332907.0,NY12302-2-14-01-1441,1454998.0,23_Big6_SVREC_540338,2.0,1.0,257.0,14.0,81.0,Grain yield - kg/ha|CO_321:0001218,7619.21,,,,23_Big6_SVREC
10020.0,2023.0,1332788.0,NY12302-2-14-08-1442,1455280.0,23_Big6_SVREC_540342,2.0,1.0,279.0,15.0,66.0,Grain yield - kg/ha|CO_321:0001218,7296.81,,,,23_Big6_SVREC
10020.0,2023.0,1334621.0,NY15158-01-01-10-1873,1455293.0,23_Big6_SVREC_540323,2.0,1.0,318.0,17.0,67.0,Grain yield - kg/ha|CO_321:0001218,6582.18,,,,23_Big6_SVREC
10020.0,2023.0,1334649.0,NY15116-01-06-01-1804,1455120.0,23_Big6_SVREC_540344,2.0,1.0,326.0,18.0,70.0,Grain yield - kg/ha|CO_321:0001218,6668.76,,,,23_Big6_SVREC
10020.0,2023.0,1332911.0,NY12007-2-4-13-1381,1455046.0,23_Big6_SVREC_540318,2.0,1.0,415.0,22.0,79.0,Grain yield - kg/ha|CO_321:0001218,5951.8,,,,23_Big6_SVREC
10033.0,2023.0,1332907.0,NY12302-2-14-01-1441,1458166.0,23_Big6_MAS_539855,1.0,1.0,102.0,17.0,87.0,Grain yield - kg/ha|CO_321:0001218,5934.58,,,,23_Big6_MAS
10033.0,2023.0,1332843.0,NY12351-1-14-20-1484,1458251.0,23_Big6_MAS_539852,1.0,1.0,119.0,17.0,70.0,Grain yield - kg/ha|CO_321:0001218,6892.24,,,,23_Big6_MAS
10033.0,2023.0,1334649.0,NY15116-01-06-01-1804,1457898.0,23_Big6_MAS_539860,1.0,1.0,145.0,19.0,84.0,Grain yield - kg/ha|CO_321:0001218,5247.66,,,,23_Big6_MAS
10033.0,2023.0,1332907.0,NY12302-2-14-01-1441,1457934.0,23_Big6_MAS_539854,2.0,1.0,242.0,24.0,70.0,Grain yield - kg/ha|CO_321:0001218,6889.7,,,,23_Big6_MAS
10033.0,2023.0,1332788.0,NY12302-2-14-08-1442,1457967.0,23_Big6_MAS_539859,2.0,1.0,275.0,25.0,74.0,Grain yield - kg/ha|CO_321:0001218,5811.71,,,,23_Big6_MAS
10033.0,2023.0,1334649.0,NY15116-01-06-01-1804,1457977.0,23_Big6_MAS_539861,2.0,1.0,318.0,27.0,71.0,Grain yield - kg/ha|CO_321:0001218,5175.16,,,,23_Big6_MAS
10033.0,2023.0,1334621.0,NY15158-01-01-10-1873,1458220.0,23_Big6_MAS_539841,2.0,1.0,382.0,31.0,87.0,Grain yield - kg/ha|CO_321:0001218,6520.03,,,,23_Big6_MAS
10033.0,2023.0,1332911.0,NY12007-2-4-13-1381,1457843.0,23_Big6_MAS_539835,2.0,1.0,390.0,31.0,79.0,Grain yield - kg/ha|CO_321:0001218,6285.37,,,,23_Big6_MAS
