germplasmName,value
WI13OWW-47.04,4274.51
WI13OWW-174.01,4156.86
WI13OWW-140.05,3686.27
GUA,5539.22
CLARKS_CREAM,4970.59
ARS10-028,4460.78
WI13OWW-11.03,4549.02
15NORD-39,4088.24
WI13OWW-183.05,4186.27
NI12702W,2431.37
WI13OWW-140.05,3901.96
WI13OWW-174.01,4558.82
ROJO_DE_SABANDO,5313.73
WI13OWW-47.04,5088.24
WI13OWW-260.06,4960.78
WI13OWW-145.06,4931.37
REDEEMER,5049.02
WI13OWW-7.02,3764.71
WI13OWW-202.07,4431.37
WI13OWW-202.07,5196.08
WI13OWW-260.06,5274.51
WI13OWW-9.1,5039.22
Turkey Red,4068.63
WI13OWW-260.06,4245.1
WI13OWW-8.06,5117.65
WI13OWW-174.01,5490.2
ARAPAHOE,4352.94
WI13OWW-212.08,4833.33
WI13OWW-54.08,4392.16
WI13OWW-47.04,4705.88
WI13OWW-138.04,4196.08
WI13OWW-202.07,4960.78
FREDRICK,5539.22
NE06545,4460.78
WARTHOG,5519.61
FORWARD,6058.82
WI13OWW-199.09,5549.02
14NORD-01,3627.45
WI13OWW-140.05,4019.61
WI13OWW-12.05,4833.33
WI13OWW-47.04,4225.49
15NORD-39,3872.55
FREDRICK,4960.78
FORWARD,5784.31
ARAPAHOE,4627.45
ARS10-028,6490.2
WI13OWW-12.05,5352.94
WI13OWW-145.06,4637.25
CLARKS_CREAM,4686.27
Turkey Red,3862.75
WI13OWW-202.07,4803.92
WI13OWW-8.06,3950.98
WI13OWW-140.05,4480.39
WI13OWW-138.04,4127.45
WI13OWW-54.08,5078.43
WARTHOG,3931.37
WI13OWW-47.04,5676.47
WI13OWW-183.05,4470.59
WI13OWW-140.05,4205.88
WI13OWW-174.01,4725.49
WI13OWW-9.1,4372.54901960784
WI13OWW-140.05,3745.09803921569
WI13OWW-7.02,3911.76470588235
WI13OWW-212.08,5000.0
WI13OWW-260.06,4333.33333333333
WI13OWW-47.04,4931.37254901961
WI13OWW-174.01,4637.25490196078
WI13OWW-260.06,4843.13725490196
WI13OWW-202.07,4921.56862745098
WI13OWW-199.09,5078.43137254902
14NORD-01,4823.52941176471
REDEEMER,4568.62745098039
WI13OWW-174.01,4794.11764705882
NE06545,2647.05882352941
WI13OWW-11.03,4950.98039215686
WI13OWW-202.07,4823.52941176471
GUA,5676.47058823529
WI13OWW-260.06,5176.47058823529
NI12702W,5049.01960784314
ROJO_DE_SABANDO,5000.0
ARAPAHOE,5490.19607843137
WI13OWW-199.09,4450.98039215686
GUA,4911.76470588235
WI13OWW-145.06,5892.1568627451
WARTHOG,5450.98039215686
WI13OWW-7.02,6019.60784313725
FORWARD,5745.09803921569
WI13OWW-260.06,5235.29411764706
WI13OWW-183.05,5421.56862745098
NE06545,5921.56862745098
ROJO_DE_SABANDO,5607.8431372549
WI13OWW-140.05,5072.91666666667
WI13OWW-202.07,6062.5
WI13OWW-260.06,6020.83333333333
15NORD-39,3843.75
14NORD-01,5739.58333333333
WI13OWW-212.08,5510.41666666667
WI13OWW-54.08,5000.0
CLARKS_CREAM,5385.41666666667
REDEEMER,4541.66666666667
NI12702W,6656.25
WI13OWW-174.01,6072.91666666667
WI13OWW-174.01,5750.0
WI13OWW-138.04,5697.91666666667
WI13OWW-47.04,6343.75
WI13OWW-47.04,5750.0
WI13OWW-8.06,6229.16666666667
WI13OWW-47.04,6208.33333333333
WI13OWW-11.03,5666.66666666667
WI13OWW-260.06,6177.08333333333
WI13OWW-12.05,6864.58333333333
WI13OWW-202.07,6500.0
Turkey Red,5375.0
WI13OWW-140.05,5364.58333333333
WI13OWW-202.07,5968.75
WI13OWW-174.01,5312.5
WI13OWW-183.05,1488.74
WI13OWW-11.03,1393.44
WI13OWW-199.09,1646.8
15NORD-39,1171.76
REDEEMER,1805.14
WI13OWW-47.04,1615.13
WI13OWW-260.06,1583.46
WI13OWW-138.04,2343.52
WI13OWW-174.01,2121.83
WI13OWW-8.06,1995.16
ARS10-028,2375.19
WI13OWW-47.04,2026.83
BLANC_DE_MORVAN,1551.79
FORWARD,2280.18
WI13OWW-140.05,1836.81
WI13OWW-212.08,1773.47
WI13OWW-9.1,1551.79
FREDRICK,2185.17
WI13OWW-202.07,2280.18
ARAPAHOE,2596.87
NE06545,3071.91
WI13OWW-54.08,2185.17
CLARKS_CREAM,2280.18
WARTHOG,2533.53
WI13OWW-12.05,2755.22
14NORD-01,2248.51
WI13OWW-12.05,1425.11
NE06545,2216.84
WI13OWW-174.01,1710.13
ROJO_DE_SABANDO,2438.52
WI13OWW-260.06,2026.83
REDEEMER,2121.83
WI13OWW-54.08,2280.18
WI13OWW-47.04,2470.19
NI12702W,2628.54
Turkey Red,2375.19
WARTHOG,2153.5
WI13OWW-138.05,2058.49
WI13OWW-9.1,1931.82
BLANC_DE_MORVAN,1741.8
WI13OWW-8.06,1805.14
WI13OWW-199.09,2121.83
ARAPAHOE,2818.55
ARS10-028,2375.19
FORWARD,2026.83
CLARKS_CREAM,1488.45
FREDRICK,1931.82
15NORD-39,1361.77
14NORD-01,1710.13
WI13OWW-183.05,1995.16
WI13OWW-47.04,1963.49
WI13OWW-212.08,2026.83
WI13OWW-202.07,2153.5
WI13OWW-138.04,2058.49
WI13OWW-199.09,1583.46
WI13OWW-212.08,1583.46
WI13OWW-260.06,1773.47
WI13OWW-54.08,1931.82
WI13OWW-8.06,1615.13
WI13OWW-140.05,2058.49
WI13OWW-47.04,2121.83
ROJO_DE_SABANDO,1773.47
ARAPAHOE,2090.16
WI13OWW-47.04,1900.15
BLANC_DE_MORVAN,1646.8
CLARKS_CREAM,1995.16
FREDRICK,2438.52
WI13OWW-174.01,2058.49
REDEEMER,2406.85
14NORD-01,2058.49
Turkey Red,2565.2
ARS10-028,2438.52
WI13OWW-183.05,1868.48
WI13OWW-9.1,1488.45
FORWARD,1995.16
WI13OWW-12.05,1678.46
WI13OWW-11.03,1773.47
WI13OWW-138.05,2248.51
WI13OWW-202.07,2406.85
NI12702W,2216.84
WARTHOG,2026.83
NE06545,2755.22
15NORD-39,1393.44
WI13OWW-138.04,1516.84
WINTERHAWK,2791.93
WARTHOG,2160.8
WI13OWW-199.09,2727.75
KASKASKIA,2684.96
WI13OWW-202.07,1726.5
WI13OWW-260.06,2075.23
ERISMAN,2627.2
ERIE,2845.42
WI13OWW-140.05,1536.1
Champlain,2244.24
IL17-17739,2648.59
WI13OWW-183.05,2156.53
US16-IL-064-006,2729.89
VA16HRW-22,3390.97
WI13OWW-11.03,2137.27
WI13OWW-54.08,1720.09
Turkey Red,2697.8
EXPEDITION,3313.95
MEDINA,1871.98
WI13OWW-8.06,1728.64
REDFIELD,2948.11
WI13OWW-7.02,2162.94
OVERLAND,3022.99
IL07-4415,2804.77
NY99056-161,3104.29
WI13OWW-174.01,3033.68
ARAPAHOE,3485.1
GENESEE,2058.11
WI13OWW-47.04,3149.21
IL13-1960,4090.55
Brome,3814.57
Sirvinta,2280.61
ARAPAHOE,3275.44
TX02A0252,3793.18
VA14HRW-41,3917.26
WI13OWW-145.06,2605.8
ARROW,3091.45
VA14HRW-25,1803.52
TAM 114,3763.22
IL16-8048,2905.32
US16-IL-064-160,2980.2
RUTH,2732.03
EXPEDITION,3142.79
WI13OWW-9.1,2406.84
WI13OWW-212.08,2759.84
Pio 25R74,3239.07
AC_MORLEY,2413.26
IL15-2639,3194.14
WI13OWW-12.05,2195.04
WI13OWW-260.06,2614.36
WI13OWW-47.04,2719.19
WARTHOG,2550.18
Montcalm,3093.59
REDFIELD,3226.23
WI13OWW-212.08,3014.43
VA14HRW-25,3097.87
REDFIELD,3087.17
Sirvinta,2171.5
US16-IL-064-160,3095.73
ERIE,2344.79
WI13OWW-260.06,2308.42
WI13OWW-8.06,1756.46
WI13OWW-7.02,2070.95
Champlain,2637.89
VA14HRW-41,3042.24
US16-IL-064-006,2511.67
WI13OWW-47.04,2068.81
TX02A0252,2173.64
IL17-17739,2374.75
ARAPAHOE,2342.65
IL15-2639,2560.87
WI13OWW-199.09,2346.93
WI13OWW-140.05,2077.37
WI13OWW-47.04,2331.96
REDFIELD,2368.33
EXPEDITION,2676.4
WARTHOG,2868.95
KASKASKIA,3303.25
IL07-4415,3395.24
WI13OWW-11.03,2349.07
WI13OWW-12.05,2445.35
RUTH,3320.37
IL16-8048,3361.01
ERISMAN,3316.09
OVERLAND,3022.99
WI13OWW-183.05,2458.18
EXPEDITION,3320.37
WARTHOG,3271.16
NY99056-161,3016.57
VA16HRW-22,3474.4
Pio 25R74,3365.29
IL13-1960,3003.73
WI13OWW-260.06,2417.53
WI13OWW-145.06,723.12
AC_MORLEY,2879.65
WI13OWW-54.08,2314.84
GENESEE,2381.16
TAM 114,2819.74
Brome,2631.48
ARAPAHOE,2509.53
ARROW,2723.47
MEDINA,2394.0
WI13OWW-174.01,2453.9
WI13OWW-9.1,2175.78
WI13OWW-202.07,2691.38
WINTERHAWK,3016.57
Montcalm,3221.95
WI13OWW-138.04,2229.27
Turkey Red,2436.79
Pio 25R74,2997.31
MEDINA,2438.93
ARAPAHOE,2618.64
EXPEDITION,2436.79
WI13OWW-138.04,1925.47
WI13OWW-183.05,1886.96
WI13OWW-212.08,2188.62
VA14HRW-41,2774.82
Turkey Red,1938.31
ERISMAN,2387.58
GENESEE,2094.48
WI13OWW-260.06,2836.86
US16-IL-064-006,3420.92
Sirvinta,2868.95
RUTH,3433.75
WI13OWW-54.08,2937.41
WI13OWW-174.01,2186.48
WI13OWW-260.06,2436.79
VA14HRW-25,3348.18
WINTERHAWK,3611.33
WI13OWW-47.04,2738.45
WARTHOG,3138.52
ARAPAHOE,2764.12
IL07-4415,3669.09
TAM 114,3617.74
WI13OWW-47.04,2749.14
IL17-17739,3705.46
WI13OWW-7.02,2550.18
IL16-8048,3335.34
WARTHOG,3147.07
Montcalm,3147.07
Champlain,2710.63
EXPEDITION,2665.71
WI13OWW-202.07,3228.37
ARROW,3050.8
NY99056-161,3020.85
ERIE,3463.71
TX02A0252,3724.71
AC_MORLEY,2710.63
WI13OWW-199.09,2597.24
OVERLAND,3380.27
REDFIELD,3292.55
REDFIELD,3328.92
WI13OWW-11.03,1794.97
WI13OWW-145.06,1916.91
US16-IL-064-160,2637.89
WI13OWW-140.05,2128.71
IL13-1960,2853.97
WI13OWW-8.06,1683.72
KASKASKIA,2678.54
IL15-2639,2918.16
Brome,2556.6
WI13OWW-12.05,2361.91
WI13OWW-9.1,2254.94
VA16HRW-22,2468.88
SARE138.04,1516.84223313236
WINTERHAWK,2791.93104970061
WARTHOG,2160.80487371465
SARE199.09,2727.74872671899
KASKASKIA,2684.9605113979
SARE202.07,1726.50448820566
SARE260.06,2075.22844307248
ERISMAN,2627.19642071444
ERIE,2845.41631885196
SARE140.05,1536.09693002685
Champlain,2244.24189359076
IL17-17739,2648.59052837498
SARE183.05,2156.52605218254
US16-IL-064-006,2729.88813748504
VA16HRW-22,3390.96606419576
SARE11.03,2137.27135528805
SARE54.08,1720.0862559075
Turkey Red,2697.79697599423
EXPEDITION,3313.94727661781
MEDINA,1871.98442029734
SARE8.06,1728.64389897172
REDFIELD,2948.10803562256
SARE7.02,2162.9442844807
OVERLAND,3022.98741243445
IL07-4415,2804.76751429693
NY99056-161,3104.28502154451
SARE174.01,3033.68446626472
ARAPAHOE,3485.10013790214
GENESEE,2058.11315694405
