germplasmName,value,pred,fold,studyName
OVERLAND,8099.17,4165.164727990638,1,ARS-NRPN-2024-ST_PAUL
SD19B033-2,8191.07,4124.852259376025,1,ARS-NRPN-2024-ST_PAUL
SD20B088-2,6287.9,4282.367012271362,1,ARS-NRPN-2024-ST_PAUL
SD20D100-9,8486.97,4153.844746153374,1,ARS-NRPN-2024-ST_PAUL
SD18B025-8,7320.0,4703.926932611489,1,ARS-NRPN-2022-CROOKSTON
SD18B072-2,6617.0,4383.9399644335645,1,ARS-NRPN-2022-CROOKSTON
SD19B019-2,5831.0,4384.053714695528,1,ARS-NRPN-2022-CROOKSTON
SD19B033-2,7118.0,4253.311957718383,1,ARS-NRPN-2022-CROOKSTON
OVERLAND,6890.0,4544.787236560267,1,ARS-NRPN-2022-CROOKSTON
SD15035-2,6862.0,4809.730213588363,1,ARS-NRPN-2022-CROOKSTON
MTS1224,4708.30350873766,5082.877423959608,1,UMN-WHEAT-2019-LAMBERTON
NORTHERN,4439.23261504296,5052.657213412483,1,UMN-WHEAT-2019-LAMBERTON
14NORD-01,5131.10998428341,5275.836065258704,1,UMN-WHEAT-2019-LAMBERTON
OAHE,4188.99197634314,5366.752293805882,1,UMN-WHEAT-2019-LAMBERTON
REDFIELD,4257.78965798515,4981.621916050909,1,UMN-WHEAT-2019-LAMBERTON
RUTH,4346.22460555039,4679.1804416225905,1,UMN-WHEAT-2019-LAMBERTON
WARHORSE,4881.74360742264,4902.900035889699,1,UMN-WHEAT-2019-LAMBERTON
FOUROSIX,4580.45952750456,4016.6136389611083,1,UMN-WHEAT-2019-LAMBERTON
NE06545,4545.75805758542,5151.888172101069,1,UMN-WHEAT-2019-LAMBERTON
IDEAL,4515.15889321874,5136.164674969792,1,UMN-WHEAT-2019-LAMBERTON
OVERLAND,5417.67,4165.164727990638,1,ARS-NRPN-2024-BOZEMAN
SD19B033-2,6683.67,4124.852259376025,1,ARS-NRPN-2024-BOZEMAN
SD20B088-2,5263.33,4282.367012271362,1,ARS-NRPN-2024-BOZEMAN
SD20D100-9,4819.33,4153.844746153374,1,ARS-NRPN-2024-BOZEMAN
YELLOWSTONE,6415.49477711989,5358.566275276833,1,SEIdahoCereals_H_W_SOS_2016
YELLOWSTONE,6415.49477711989,5358.566275276833,1,SEIdahoCereals_H_W_SOS_2016
YELLOWSTONE,6415.49477711989,5358.566275276833,1,SEIdahoCereals_H_W_SOS_2016
WARHORSE,5390.18739264868,5211.498260443254,1,SEIdahoCereals_H_W_SOS_2016
WARHORSE,5390.18739264868,5211.498260443254,1,SEIdahoCereals_H_W_SOS_2016
WARHORSE,5390.18739264868,5211.498260443254,1,SEIdahoCereals_H_W_SOS_2016
MTS1224,6229.96296469177,5461.942699568588,1,SEIdahoCereals_H_W_SOS_2016
MTS1224,6229.96296469177,5461.942699568588,1,SEIdahoCereals_H_W_SOS_2016
MTS1224,6229.96296469177,5461.942699568588,1,SEIdahoCereals_H_W_SOS_2016
YELLOWSTONE,7118.57614808229,5358.566275276833,1,SEIdahoCereals_H_W_SOS_2016
YELLOWSTONE,7118.57614808229,5358.566275276833,1,SEIdahoCereals_H_W_SOS_2016
YELLOWSTONE,7118.57614808229,5358.566275276833,1,SEIdahoCereals_H_W_SOS_2016
NORTHERN,4364.88000817746,5455.172223659881,1,SEIdahoCereals_H_W_SOS_2016
NORTHERN,4364.88000817746,5455.172223659881,1,SEIdahoCereals_H_W_SOS_2016
NORTHERN,4364.88000817746,5455.172223659881,1,SEIdahoCereals_H_W_SOS_2016
MTS1224,6151.8443068273,5461.942699568588,1,SEIdahoCereals_H_W_SOS_2016
MTS1224,6151.8443068273,5461.942699568588,1,SEIdahoCereals_H_W_SOS_2016
MTS1224,6151.8443068273,5461.942699568588,1,SEIdahoCereals_H_W_SOS_2016
NORTHERN,4833.5919553643,5455.172223659881,1,SEIdahoCereals_H_W_SOS_2016
NORTHERN,4833.5919553643,5455.172223659881,1,SEIdahoCereals_H_W_SOS_2016
NORTHERN,4833.5919553643,5455.172223659881,1,SEIdahoCereals_H_W_SOS_2016
JUDEE,6034.66632003059,4959.21894984884,1,SEIdahoCereals_H_W_SOS_2016
JUDEE,6034.66632003059,4959.21894984884,1,SEIdahoCereals_H_W_SOS_2016
JUDEE,6034.66632003059,4959.21894984884,1,SEIdahoCereals_H_W_SOS_2016
WARHORSE,7518.92081945558,5211.498260443254,1,SEIdahoCereals_H_W_SOS_2016
WARHORSE,7518.92081945558,5211.498260443254,1,SEIdahoCereals_H_W_SOS_2016
WARHORSE,7518.92081945558,5211.498260443254,1,SEIdahoCereals_H_W_SOS_2016
NORTHERN,6640.08591848026,5455.172223659881,1,SEIdahoCereals_H_W_SOS_2016
NORTHERN,6640.08591848026,5455.172223659881,1,SEIdahoCereals_H_W_SOS_2016
NORTHERN,6640.08591848026,5455.172223659881,1,SEIdahoCereals_H_W_SOS_2016
JUDEE,5780.78068197105,4959.21894984884,1,SEIdahoCereals_H_W_SOS_2016
JUDEE,5780.78068197105,4959.21894984884,1,SEIdahoCereals_H_W_SOS_2016
JUDEE,5780.78068197105,4959.21894984884,1,SEIdahoCereals_H_W_SOS_2016
MTS1224,6259.25746139095,5461.942699568588,1,SEIdahoCereals_H_W_SOS_2016
MTS1224,6259.25746139095,5461.942699568588,1,SEIdahoCereals_H_W_SOS_2016
MTS1224,6259.25746139095,5461.942699568588,1,SEIdahoCereals_H_W_SOS_2016
WARHORSE,6913.52812137019,5211.498260443254,1,SEIdahoCereals_H_W_SOS_2016
WARHORSE,6913.52812137019,5211.498260443254,1,SEIdahoCereals_H_W_SOS_2016
WARHORSE,6913.52812137019,5211.498260443254,1,SEIdahoCereals_H_W_SOS_2016
YELLOWSTONE,6854.88532724328,5358.566275276833,1,SEIdahoCereals_H_W_SOS_2016
YELLOWSTONE,6854.88532724328,5358.566275276833,1,SEIdahoCereals_H_W_SOS_2016
YELLOWSTONE,6854.88532724328,5358.566275276833,1,SEIdahoCereals_H_W_SOS_2016
JUDEE,5390.18739264868,4959.21894984884,1,SEIdahoCereals_H_W_SOS_2016
JUDEE,5390.18739264868,4959.21894984884,1,SEIdahoCereals_H_W_SOS_2016
JUDEE,5390.18739264868,4959.21894984884,1,SEIdahoCereals_H_W_SOS_2016
OVERLAND,6952.68,4165.164727990638,1,ARS-NRPN-2024-CASSELTON
SD19B033-2,7476.52,4124.852259376025,1,ARS-NRPN-2024-CASSELTON
SD20B088-2,7273.19,4282.367012271362,1,ARS-NRPN-2024-CASSELTON
SD20D100-9,7640.65,4153.844746153374,1,ARS-NRPN-2024-CASSELTON
SHIRLEY,6401.69627667038,6204.586864664192,1,HRWPrelim_2022_BLAVA
SHIRLEY,6401.69627667038,6204.586864664192,1,HRWPrelim_2022_BLAVA
VISION45,5607.28858351469,5875.388358426233,1,HRWPrelim_2022_BLAVA
VISION45,5607.28858351469,5875.388358426233,1,HRWPrelim_2022_BLAVA
VA14HRW-25,6707.66126955172,5326.170411786109,1,HRWPrelim_2022_BLAVA
VA14HRW-25,6707.66126955172,5326.170411786109,1,HRWPrelim_2022_BLAVA
VA18HRW-57,6232.48921915514,5796.701519743586,1,HRWPrelim_2022_BLAVA
