germplasmName,value
TAMW-101,2004.0
TX18A001129,2118.4065
TX19M3347,2380.6854
TX18DH313,2589.1635
TX15M8456-19AZ435,3712.2552
TX15M8023-19AZ406,2979.2193
TX18DH437,3544.1277
TAM 204,2844.7173
TX18M2602,3248.2233
TX18A001119,2098.2312
TAMW-101,2548.8129
TX19M3027,2326.8846
TX18A001132,2595.8886
TAM 115,1681.275
TX15M8023-19AZ409,3093.546
TX15M8456-19AZ490,2609.3388
TX19M3319,2199.1077
TAM 114,1822.5021
TAM304,2797.6416
TX15M8456-19AZ504,2985.9444
TX18A001129,2118.4065
TX19A001290,2508.4623
TX19M3269,2804.3667
TX18A001399,2347.0599
TX19A001030,1950.279
TX18M2602,2710.2153
TX14M7088-18AZ530,2138.5818
TX19A001030,1681.275
TX19A001150,1977.1794
TX19A001290,2595.8886
TX19A001362,2044.4304
TX19A001366,1802.3268
TAM 114,1459.3467
TX19A001467,1452.6216
TX19AS1543,1869.5778
TX15A001482-19AZ16,3792.9564
TX18DH129,3006.1197
TX18DH266,2616.0639
TX18DH287,2999.3946
TX18DH303,2098.2312
TX18DH313,2844.7173
TX18DH437,3564.303
TX19M3027,1506.4224
TAM 115,611.9841
TX19M3156,2824.542
TX19M3183,3234.7731
TX19M3242,981.8646
TX19M3269,2885.0679
TX19M3319,1822.5021
TX19M3347,1405.5459
TX15M8023-19AZ406,2407.5858
TX15M8023-19AZ409,2804.3667
TX15M8456-19AZ435,2185.6575
TX15M8456-19AZ490,2414.3109
TAM 204,2004.0798
TX15M8456-19AZ504,2710.2153
TX15M8456-19AZ490,3106.9962
TAMW-101,2387.4105
TX18A001129,2690.04
TX18M2602,3187.6974
TX18A001132,2495.0121
TX15M8456-19AZ504,3463.4265
TAM 114,1903.2033
TX15M8456-19AZ435,3160.797
TAM 115,1620.7491
TAM 205,1109.6415
TX17M1572,3772.7811
TAM 205,2313.4344
TAM304,3086.8209
TX19M3027,2905.2432
TX18A001119,3645.0042
TX18A001399,3268.3986
TX19M3156,3342.3747
TX15A001482-19AZ16,3914.0082
TX18DH313,3449.9763
TX19A001467,1983.9045
TAM304,2797.6416
TX19AS1543,2575.7133
TX15M8023-19AZ409,3934.1835
TX19M3183,4256.9883
TX18DH303,2750.5659
TX19M3242,2360.5101
AMPSY-473-18AZ816,1203.7929
TX19A001362,2932.1436
TX19M3269,3591.2034
TX19A001030,2091.5061
TX19A001150,2165.4822
AMPSY-473-18AZ816,1176.8925
TX19A001290,3154.0719
TX18DH129,3201.1476
TX18DH287,2710.2153
TX19M3319,2757.291
TX14M7088-18AZ530,2495.0121
TX19M3347,2474.8368
TX18DH266,2743.8408
TX15M8023-19AZ406,3133.8966
TX18DH437,3436.5261
TX19A001366,2266.3587
TX17M1572,3322.1994
TAM 204,2790.9165
TX19A001366,2575.7133
TX18A001399,2885.0679
TX17M1572,3053.1954
TX19M3183,3295.299
TX19A001150,2313.4344
TX19A001362,2568.9882
TX18DH266,2885.0679
TX19AS1543,2589.1635
TX18DH129,3187.6974
TX18A001119,1950.279
TX18DH303,2313.4344
TX14M7088-18AZ530,2636.2392
TX18DH287,2979.2193
TAM 205,1412.271
TX19M3156,3026.295
TX19M3242,2064.6057
AMPSY-473-18AZ816,679.2351
TX15A001482-19AZ16,3665.1795
TX18A001132,2427.7611
TX19A001467,1775.4264
TAMW-101,3368.5525
TX18A001129,3300.63
TX19M3347,2616.6975
TX17M1572,2968.415
TAM 204,1698.735
TAMW-101,2538.6875
TX19A001366,3065.9275
TX14M7088-18AZ530,2929.41
TX19A001030,3447.235
TX19M3183,2431.0875
TX15M8456-19AZ490,2343.6625
TX15M8023-19AZ409,2568.2775
TX18A001132,3261.625
AMPSY-473-18AZ816,3554.1625
TX19A001362,3329.5475
TX19M3319,2441.175
TX18DH303,3466.7375
TAM 114,3076.015
TX18M2602,3300.63
TX18A001399,2939.4975
TX19M3156,1982.53
TAM 115,3056.5125
TX15M8456-19AZ504,3232.035
TX18A001399,3134.5225
TX18DH313,4199.09
TX18M2602,3095.5175
TX14M7088-18AZ530,3895.7925
TX19A001030,3866.875
TX19A001150,3368.5525
TX19A001290,3124.435
TX19A001362,3544.7475
TX19A001366,3808.3675
TAM 114,4179.5875
TX19A001467,3154.025
TX19AS1543,3886.3775
TX15A001482-19AZ16,3886.3775
TX18DH129,3954.9725
TX18DH266,3886.3775
TX18DH287,2860.815
TX18DH303,3056.5125
TX18DH313,3476.1525
TX18DH437,3124.435
TX19M3027,2841.3125
TAM 115,3466.7375
TX19M3156,1963.0275
TX19M3183,2870.9025
TX19M3242,2587.78
TX19M3269,2968.415
TX19M3319,2812.395
TX19M3347,3026.9225
TX15M8023-19AZ406,3710.855
TX15M8023-19AZ409,3115.02
TX15M8456-19AZ435,3642.26
TX15M8456-19AZ490,3778.7775
TAM 204,3349.05
TX15M8456-19AZ504,3437.1475
TX15M8456-19AZ435,4091.49
TX18A001399,3085.43
TX19AS1543,3593.1675
TX18DH313,4530.6325
TX19A001467,2870.9025
TX18A001119,4091.49
TX15M8456-19AZ490,3163.44
TX18DH437,3115.02
TX19M3027,3329.5475
TAM 205,3573.665
TX19A001030,3339.635
