germplasmName,value
KS15SGDCB103-5,3983.89
KS15SGDCB088-5,2630.1475
West Blend,4205.815
KS15SGDCB108-8,4449.9325
KS15SGDCB093-15,5947.59
KS15SGDCB103-1,4283.1525
KS15SGDCB090-16,5071.3225
KS15SGDCB089-9,4571.655
WB 4792,5293.2475
West Blend,4183.6225
Joe,4383.355
KS15SGDCB088-19,2963.035
KS15SGDCB086-7,3939.505
KS15SGDCB092-4,5037.6975
KS15SGDCB083-5,3151.335
KS15SGDCB098-3,5370.585
West Blend,4161.43
KS15SGDCB098-10,4915.975
WB 4792,4305.345
Joe,3828.5425
KS15SGDCB091-13,4172.19
KS061278M-4,5326.2
KS15SGDCB083-11,4216.575
KS15SGDCB088-1,2463.3675
West Blend,4371.9225
KS15SGDCB112-7,5271.055
KS15SGDCB086-5,2973.795
KS15SGDCB093-24,4993.3125
KS15SGDCB089-4,5137.9
KS15SGDCB088-21,3661.7625
West Blend,4527.27
KS15SGDCB092-7,4028.275
KS15SGDCB106-9,3384.6925
KS15SGDCB087-13,4982.5525
West Blend,3562.2325
KS061862M-17,4616.04
KS15SGDCB093-9,5481.5475
WGR004333,5015.505
KS15SGDCB105-18,3706.1475
KS15SGDCB106-7,4016.8425
KS061278M-4,6225.3325
KS061862M-17,4472.125
West Blend,5193.045
KS15SGDCB103-25,5271.055
KS15SGDCB094-3,4682.6175
KS15SGDCB095-3,2840.64
KS15SGDCB117-5,4016.8425
KS15SGDCB103-24,4583.0875
KS15SGDCB095-2,5271.055
DANBY,3572.9925
KS15SGDCB104-6,3229.345
West Blend,2552.1375
KS15SGDCB105-16,2086.095
KS15SGDCB116-4,3251.5375
KanMark,4405.5475
KS15SGDCB100-4,2796.255
KS15SGDCB086-6,3262.2975
KS15SGDCB103-18,4083.42
West Blend,4050.4675
KS15SGDCB106-8,3784.1575
KS15SGDCB101-5,3584.425
KS15SGDCB112-12,4738.435
KS15SGDCB090-17,6169.515
KS15SGDCB115-2,3417.645
KS15SGDCB100-9,4061.2275
West Blend,3517.8475
WGR004485,3362.5
LARRY,3939.505
KS15SGDCB087-5,3606.6175
KS15SGDCB091-15,3318.115
KS15SGDCB091-22,2918.65
KS15SGDCB110-14,2940.8425
KS15SGDCB103-5,3506.415
KS15SGDCB088-5,2829.88
West Blend,3606.6175
KS15SGDCB108-8,3839.3025
KS15SGDCB093-15,4094.8525
KS15SGDCB103-1,3639.57
KS15SGDCB090-16,3895.12
KS15SGDCB089-9,4016.8425
WB 4792,4117.045
West Blend,4527.27
West Blend,3739.7725
Joe,3917.3125
KS15SGDCB088-19,2363.8375
KS15SGDCB086-7,3750.5325
WB 4792,3595.185
KS15SGDCB108-2,3717.58
KS15SGDCB116-1,3062.565
West Blend,3217.9125
KS15SGDCB089-7,4094.8525
Joe,3506.415
KS15SGDCB094-1,3828.5425
KS15SGDCB088-18,3106.95
KS15SGDCB110-12,2774.0625
KS15SGDCB115-8,3683.955
Joe,3362.5
West Blend,3462.03
WB 4792,3207.1525
KS15SGDCB100-10,3506.415
KS15SGDCB110-6,2652.34
KS15SGDCB094-2,3251.5375
KS15SGDCB083-6,2995.9875
KS15SGDCB083-13,3628.81
KS15SGDCB090-11,3195.72
West Blend,3495.655
KS15SGDCB104-2,2885.025
KS061406LN~26,3395.4525
KS15SGDCB090-12,3351.0675
KS15SGDCB112-18,2485.56
KS15SGDCB092-13,2252.875
KS15SGDCB115-5,3950.265
West Blend,4016.8425
KS15SGDCB110-2,3905.88
KS15SGDCB110-4,3162.7675
KS15SGDCB112-20,3118.3825
KS15SGDCB092-15,2951.6025
KS15SGDCB092-4,2973.795
KS15SGDCB083-5,3151.335
KS15SGDCB098-3,4915.975
West Blend,4383.355
KS15SGDCB098-10,5126.4675
WB 4792,3850.735
Joe,3861.495
KS15SGDCB091-13,2940.8425
KS061278M-4,4349.73
KS15SGDCB083-11,4560.895
KS15SGDCB088-1,2529.945
West Blend,4094.8525
KS15SGDCB112-7,3395.4525
KS15SGDCB086-5,3728.34
KS15SGDCB093-24,3683.955
KS15SGDCB105-15,3229.345
KS15SGDCB090-10,3007.42
KS15SGDCB104-7,3972.4575
West Blend,3484.2225
KS15SGDCB091-1,3429.0775
KS15SGDCB089-4,4161.43
KS15SGDCB093-25,2763.3025
KS15SGDCB088-13,2785.495
KS15SGDCB106-13,3384.6925
KS15SGDCB088-6,2263.635
WGR004296,2674.5325
West Blend,3162.7675
KS15SGDCB088-17,1686.63
KS15SGDCB088-16,2041.71
KS15SGDCB105-19,2529.945
KS15SGDCB086-3,3207.1525
KS15SGDCB088-21,3140.575
WGR004301,2852.0725
KS15SGDCB103-19,2763.3025
West Blend,2751.87
KS15SGDCB100-13,3162.7675
KanMark,3018.18
WGR004207,1686.63
KS15SGDCB100-11,3118.3825
KS15SGDCB093-6,1686.63
KS15SGDCB103-6,3695.3875
West Blend,3572.9925
West Blend,4205.815
KS15SGDCB114-4,4161.43
KS15SGDCB111-1,4371.9225
KS15SGDCB095-12,1919.9875
KS15SGDCB092-7,3162.7675
KS15SGDCB106-9,3739.7725
KS15SGDCB087-13,4172.19
West Blend,4061.2275
KS061862M-17,4205.815
KS15SGDCB093-9,4072.66
WGR004333,4283.1525
KS15SGDCB105-18,4749.195
KS15SGDCB106-7,3983.89
KS061278M-4,4638.2325
KS061862M-17,4383.355
West Blend,4272.3925
KS15SGDCB103-25,3939.505
KS15SGDCB094-3,4327.5375
KS15SGDCB095-3,2785.495
KS15SGDCB089-2,4028.275
KS15SGDCB105-4,4394.115
KS15SGDCB110-13,4383.355
KS15SGDCB088-11,1986.565
KS15SGDCB117-5,3872.9275
West Blend,3717.58
LARRY,3905.88
KS15SGDCB087-7,3129.1425
KS15SGDCB098-1,3972.4575
KS15SGDCB112-16,2663.1
KS15SGDCB098-9,3495.655
KS15SGDCB115-7,2552.1375
West Blend,3162.7675
KS15SGDCB098-11,3096.19
KS15SGDCB092-16,1897.795
KS15SGDCB103-24,3850.735
KS15SGDCB087-21,2663.1
KS15SGDCB095-2,3717.58
DANBY,4438.5
KS15SGDCB104-6,4250.2
West Blend,4172.19
KS15SGDCB105-16,3162.7675
KS15SGDCB116-4,3706.1475
KanMark,4083.42
DANBY,4117.045
KS15SGDCB097-4,3451.27
KS15SGDCB104-3,2152.6725
KS15SGDCB087-4,3540.04
West Blend,3750.5325
KS15SGDCB090-3,3961.6975
KS15SGDCB086-10,2774.0625
KS15SGDCB106-16,3018.18
KS15SGDCB112-3,3351.0675
KS15SGDCB092-2,2319.4525
KS15SGDCB090-8,3251.5375
West Blend,3217.9125
West Blend,3462.03
KS15SGDCB087-14,3772.725
KS15SGDCB101-2,2063.9025
KS15SGDCB110-21,2640.9075
KS15SGDCB095-4,3118.3825
Joe,3817.11
KS15SGDCB083-3,3961.6975
West Blend,3506.415
KS15SGDCB088-8,3439.8375
KS15SGDCB117-8,3351.0675
WB 4792,3739.7725
KS15SGDCB105-17,3362.5
KS15SGDCB088-7,3295.9225
WB 4792,4105.6125
KS15SGDCB087-6,3229.345
West Blend,3562.2325
KS15SGDCB110-7,4139.2375
Joe,3595.185
KS15SGDCB110-11,3839.3025
KS15SGDCB100-4,4094.8525
KS15SGDCB086-6,3728.34
