germplasmName,value,pred,fold,studyName
JAGALENE,5501.21,4606.781901633861,1,ARS-NRPN-2024-WICHITA
U8453_D1,5137.9,3396.2944992911926,1,23FTC_DTD
U8453_D1,5137.9,3396.2944992911926,1,23FTC_DTD
U8318_U8319_C3,4680.6,2248.0938141521583,1,23FTC_DTD
U9237-E_D4,4546.1,3123.9028722891458,1,23FTC_DTD
KS16RLGDPOP43-2,5090.8,2038.1385461351836,1,23FTC_DTD
U8454_U8446_B7,5218.6,3674.4151687189483,1,23FTC_DTD
U8454_U8446_B7,5218.6,3674.4151687189483,1,23FTC_DTD
U8439_U8554_U8440_E9,4082.1,1730.3261091776042,1,23FTC_DTD
CO13S097,3618.1,3795.2975556574925,1,23FTC_DTD
KS090387K-20,5245.5,2555.2754977938534,1,23FTC_DTD
KS090387K-20,5245.5,2555.2754977938534,1,23FTC_DTD
KS090387K-20,5245.5,2555.2754977938534,1,23FTC_DTD
KS090387K-20,5245.5,2555.2754977938534,1,23FTC_DTD
KS090387K-20,5245.5,2555.2754977938534,1,23FTC_DTD
KS090387K-20,5245.5,2555.2754977938534,1,23FTC_DTD
KS090387K-20,5245.5,2555.2754977938534,1,23FTC_DTD
KS090387K-20,5245.5,2555.2754977938534,1,23FTC_DTD
U8454_U8446_B7,4848.7,3674.4151687189483,1,23FTC_DTD
U8454_U8446_B7,4848.7,3674.4151687189483,1,23FTC_DTD
U8551_A10,5238.8,3297.044283330584,1,23FTC_DTD
U8551_A10,5238.8,3297.044283330584,1,23FTC_DTD
KS061278M-4,6395.5,3541.984711661534,1,23FTC_DTD
KS061278M-4,6395.5,3541.984711661534,1,23FTC_DTD
KS061278M-4,6395.5,3541.984711661534,1,23FTC_DTD
KS061278M-4,6395.5,3541.984711661534,1,23FTC_DTD
KS061278M-4,6395.5,3541.984711661534,1,23FTC_DTD
KS061278M-4,6395.5,3541.984711661534,1,23FTC_DTD
KS061278M-4,6395.5,3541.984711661534,1,23FTC_DTD
KS061278M-4,6395.5,3541.984711661534,1,23FTC_DTD
