study_db_id,season,germplasm_db_id,germplasmName,observation_unit_db_id,observation_unit_name,rep,block,plot,row,column,observation_variable_name,value,project_id,file_name,download_url,studyName
10163.0,2024.0,233049.0,JAGALENE,1466084.0,ARS-NRPN-2024-WICHITA_PLOT4,1.0,1.0,4.0,,,Grain yield - kg/ha|CO_321:0001218,5501.21,,,,ARS-NRPN-2024-WICHITA
10876.0,2023.0,230643.0,CO13S097,1624732.0,23GRY_VAL_100,3.0,3.0,100.0,5.0,,Grain yield - kg/ha|CO_321:0001218,4156.1,,,,23GRY_VAL
10876.0,2023.0,1386324.0,KS061278M-4,1624667.0,23GRY_VAL_107,3.0,3.0,107.0,12.0,,Grain yield - kg/ha|CO_321:0001218,2944.2,,,,23GRY_VAL
10876.0,2023.0,1544540.0,CO13D01383,1624577.0,23GRY_VAL_110,3.0,3.0,110.0,15.0,,Grain yield - kg/ha|CO_321:0001218,1994.6,,,,23GRY_VAL
10876.0,2023.0,221270.0,KS090387K-20,1624817.0,23GRY_VAL_111,3.0,3.0,111.0,16.0,,Grain yield - kg/ha|CO_321:0001218,1542.7,,,,23GRY_VAL
10876.0,2023.0,1361355.0,Joe,1624690.0,23GRY_VAL_116,3.0,3.0,116.0,14.0,,Grain yield - kg/ha|CO_321:0001218,2474.1,,,,23GRY_VAL
10876.0,2023.0,1537452.0,KanMark,1624707.0,23GRY_VAL_117,3.0,3.0,117.0,13.0,,Grain yield - kg/ha|CO_321:0001218,2963.0,,,,23GRY_VAL
10876.0,2023.0,222282.0,KS061406LN~26,1624671.0,23GRY_VAL_118,3.0,3.0,118.0,12.0,,Grain yield - kg/ha|CO_321:0001218,2069.3,,,,23GRY_VAL
10876.0,2023.0,221270.0,KS090387K-20,1624565.0,23GRY_VAL_012,1.0,1.0,12.0,13.0,,Grain yield - kg/ha|CO_321:0001218,1957.0,,,,23GRY_VAL
10876.0,2023.0,1544540.0,CO13D01383,1624642.0,23GRY_VAL_125,3.0,3.0,125.0,5.0,,Grain yield - kg/ha|CO_321:0001218,4326.2,,,,23GRY_VAL
10876.0,2023.0,222282.0,KS061406LN~26,1624539.0,23GRY_VAL_127,3.0,3.0,127.0,3.0,,Grain yield - kg/ha|CO_321:0001218,5428.4,,,,23GRY_VAL
10876.0,2023.0,1361355.0,Joe,1624536.0,23GRY_VAL_130,3.0,3.0,130.0,3.0,,Grain yield - kg/ha|CO_321:0001218,3598.5,,,,23GRY_VAL
10876.0,2023.0,221270.0,KS090387K-20,1624659.0,23GRY_VAL_132,3.0,3.0,132.0,5.0,,Grain yield - kg/ha|CO_321:0001218,3503.1,,,,23GRY_VAL
10876.0,2023.0,230643.0,CO13S097,1624824.0,23GRY_VAL_138,3.0,3.0,138.0,11.0,,Grain yield - kg/ha|CO_321:0001218,2549.4,,,,23GRY_VAL
10876.0,2023.0,222282.0,KS061406LN~26,1624513.0,23GRY_VAL_145,4.0,4.0,145.0,17.0,,Grain yield - kg/ha|CO_321:0001218,2577.7,,,,23GRY_VAL
10876.0,2023.0,1537452.0,KanMark,1624603.0,23GRY_VAL_148,4.0,4.0,148.0,14.0,,Grain yield - kg/ha|CO_321:0001218,3123.1,,,,23GRY_VAL
10876.0,2023.0,221270.0,KS090387K-20,1624660.0,23GRY_VAL_150,4.0,4.0,150.0,12.0,,Grain yield - kg/ha|CO_321:0001218,2032.3,,,,23GRY_VAL
10876.0,2023.0,1544540.0,CO13D01383,1624612.0,23GRY_VAL_155,4.0,4.0,155.0,7.0,,Grain yield - kg/ha|CO_321:0001218,3813.1,,,,23GRY_VAL
10876.0,2023.0,221270.0,KS090387K-20,1624818.0,23GRY_VAL_158,4.0,4.0,158.0,4.0,,Grain yield - kg/ha|CO_321:0001218,3160.8,,,,23GRY_VAL
10876.0,2023.0,1537452.0,KanMark,1624827.0,23GRY_VAL_159,4.0,4.0,159.0,3.0,,Grain yield - kg/ha|CO_321:0001218,4270.4,,,,23GRY_VAL
10876.0,2023.0,1386324.0,KS061278M-4,1624558.0,23GRY_VAL_163,4.0,4.0,163.0,4.0,,Grain yield - kg/ha|CO_321:0001218,4019.5,,,,23GRY_VAL
10876.0,2023.0,1361355.0,Joe,1624760.0,23GRY_VAL_167,4.0,4.0,167.0,8.0,,Grain yield - kg/ha|CO_321:0001218,4070.0,,,,23GRY_VAL
10876.0,2023.0,1386324.0,KS061278M-4,1624751.0,23GRY_VAL_174,4.0,4.0,174.0,15.0,,Grain yield - kg/ha|CO_321:0001218,2953.6,,,,23GRY_VAL
10876.0,2023.0,1361355.0,Joe,1624598.0,23GRY_VAL_179,4.0,4.0,179.0,15.0,,Grain yield - kg/ha|CO_321:0001218,3132.5,,,,23GRY_VAL
10876.0,2023.0,1386324.0,KS061278M-4,1624761.0,23GRY_VAL_018,1.0,1.0,18.0,16.0,,Grain yield - kg/ha|CO_321:0001218,2351.7,,,,23GRY_VAL
10876.0,2023.0,230643.0,CO13S097,1624821.0,23GRY_VAL_181,4.0,4.0,181.0,13.0,,Grain yield - kg/ha|CO_321:0001218,3179.6,,,,23GRY_VAL
10876.0,2023.0,1544540.0,CO13D01383,1624687.0,23GRY_VAL_183,4.0,4.0,183.0,11.0,,Grain yield - kg/ha|CO_321:0001218,3273.7,,,,23GRY_VAL
10876.0,2023.0,230643.0,CO13S097,1624832.0,23GRY_VAL_189,4.0,4.0,189.0,5.0,,Grain yield - kg/ha|CO_321:0001218,4208.5,,,,23GRY_VAL
