germplasmName,value,pred,fold,studyName
OH15-191-52,5924.26,6469.876197330654,1,24_MSU_PYT_3_MASMI
OH15-191-52,5924.26,6469.876197330654,1,24_MSU_PYT_3_MASMI
OH15-191-52,7079.17,6469.876197330654,1,24_MSU_PYT_3_MASMI
OH15-191-52,7079.17,6469.876197330654,1,24_MSU_PYT_3_MASMI
OH15-191-52,7783.54,6469.876197330654,1,24_MSU_PYT_3_MONMI
OH15-191-52,7783.54,6469.876197330654,1,24_MSU_PYT_3_MONMI
OH15-191-52,7372.26,6469.876197330654,1,24_MSU_PYT_3_MONMI
OH15-191-52,7372.26,6469.876197330654,1,24_MSU_PYT_3_MONMI
IL2021-36639,6509.02,6522.666211380648,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-16,5450.03,6244.253575480083,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-16,5450.03,6244.253575480083,1,24_Big6_MASMI
IL2021-16452,5948.47,5959.425502830492,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-28,5909.0,6371.105032698396,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-28,5909.0,6371.105032698396,1,24_Big6_MASMI
IL16LCSDH-04-T-2659-3,6836.53,6468.829727450957,1,24_Big6_MASMI
IL16LCSDH-04-T-2659-3,6836.53,6468.829727450957,1,24_Big6_MASMI
IL16LCSDH-10-T-2665-21,6692.72,6111.679947856446,1,24_Big6_MASMI
IL16LCSDH-10-T-2665-21,6692.72,6111.679947856446,1,24_Big6_MASMI
IL2021-27466,6507.6,5728.304644670256,1,24_Big6_MASMI
IL16LCSDH-04-T-2659-225,4490.76,6165.217871858083,1,24_Big6_MASMI
IL16LCSDH-02-T-864-59,5171.05,6180.415154375288,1,24_Big6_MASMI
IL2021-17859,7060.1,6001.237430152919,1,24_Big6_MASMI
IL18-23760,6636.63,5832.593871366067,1,24_Big6_MASMI
IL18-23760,6636.63,5832.593871366067,1,24_Big6_MASMI
IL2021-13713,6416.6,5871.815092278531,1,24_Big6_MASMI
IL07-19334,6227.46,6326.875486562281,1,24_Big6_MASMI
IL07-19334,6227.46,6326.875486562281,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-24,4245.49,6375.557215642295,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-24,4245.49,6375.557215642295,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-23,4598.89,6315.214498523811,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-23,4598.89,6315.214498523811,1,24_Big6_MASMI
IL2021-17475,4691.13,5911.862488517111,1,24_Big6_MASMI
IL2021-16676,6556.38,6397.4825479515885,1,24_Big6_MASMI
IL2021-18124,6198.89,5836.741609898595,1,24_Big6_MASMI
IL2021-22316,6892.84,6480.04139054351,1,24_Big6_MASMI
IL2021-22316,6892.84,6480.04139054351,1,24_Big6_MASMI
IL16LCSDH-04-T-2659-20,6924.63,6222.10931412836,1,24_Big6_MASMI
IL16LCSDH-04-T-2659-20,6924.63,6222.10931412836,1,24_Big6_MASMI
IL2021-24241,5572.25,6082.629651644242,1,24_Big6_MASMI
IL16LCSDH-06-T-2661-17,7038.08,6060.784733126455,1,24_Big6_MASMI
IL16LCSDH-06-T-2661-17,7038.08,6060.784733126455,1,24_Big6_MASMI
IL2021-18451,6553.37,6001.941778173244,1,24_Big6_MASMI
IL2021-22113,5578.27,5730.080268554727,1,24_Big6_MASMI
IL16LCSDH-07-T-2662-202,7164.79,6488.285994242286,1,24_Big6_MASMI
IL16LCSDH-07-T-2662-202,7164.79,6488.285994242286,1,24_Big6_MASMI
IL2021-35723,5396.04,5998.1305382591,1,24_Big6_MASMI
IL2021-16415,6311.43,6118.035605234501,1,24_Big6_MASMI
IL2021-39253,6284.81,6175.587355601578,1,24_Big6_MASMI
OH15-191-52,6467.91,6469.876197330663,1,24_Big6_MASMI
OH15-191-52,6467.91,6469.876197330663,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-36,4813.56,6447.580180601395,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-36,4813.56,6447.580180601395,1,24_Big6_MASMI
IL2021-16612,5807.35,5871.293460818355,1,24_Big6_MASMI
IL2021-18457,5438.73,5846.865778191393,1,24_Big6_MASMI
IL16LCSDH-08-T-2663-55,6214.18,6291.271914892596,1,24_Big6_MASMI
IL16LCSDH-08-T-2663-55,6214.18,6291.271914892596,1,24_Big6_MASMI
IL16LCSDH-04-T-2659-216,6620.42,6343.292557443698,1,24_Big6_MASMI
IL16LCSDH-04-T-2659-216,6620.42,6343.292557443698,1,24_Big6_MASMI
IL16LCSDH-04-T-2659-232,6908.92,6095.138263406252,1,24_Big6_MASMI
IL16LCSDH-10-T-2665-41,6892.83,5882.1870387025265,1,24_Big6_MASMI
IL16LCSDH-10-T-2665-41,6892.83,5882.1870387025265,1,24_Big6_MASMI
IL2021-32902,6313.07,6241.451215588323,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-43,5615.9,6375.802402880774,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-43,5615.9,6375.802402880774,1,24_Big6_MASMI
IL2021-36748,5798.99,6080.720560578389,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-40,6342.78,6380.136556264179,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-40,6342.78,6380.136556264179,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-20,5108.22,6137.229851926117,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-20,5108.22,6137.229851926117,1,24_Big6_MASMI
IL2021-46132,5155.43,6175.367532581069,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-16,6309.91,6244.253575480083,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-16,6309.91,6244.253575480083,1,24_Big6_MASMI
IL16LCSDH-06-T-2661-17,6452.31,6060.784733126455,1,24_Big6_MASMI
IL16LCSDH-06-T-2661-17,6452.31,6060.784733126455,1,24_Big6_MASMI
IL2021-34113,6364.77,6113.342110259773,1,24_Big6_MASMI
IL2021-26834,5703.65,6108.065320818118,1,24_Big6_MASMI
IL16LCSDH-04-T-2659-216,6365.27,6343.292557443698,1,24_Big6_MASMI
IL16LCSDH-04-T-2659-216,6365.27,6343.292557443698,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-24,5877.79,6375.557215642295,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-24,5877.79,6375.557215642295,1,24_Big6_MASMI
IL2021-17958,5754.59,5784.138554197677,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-20,5784.17,6137.229851926117,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-20,5784.17,6137.229851926117,1,24_Big6_MASMI
IL2021-28712,6657.72,5954.896426751193,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-36,6677.08,6447.580180601395,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-36,6677.08,6447.580180601395,1,24_Big6_MASMI
IL16LCSDH-04-T-2659-20,6637.23,6222.10931412836,1,24_Big6_MASMI
IL16LCSDH-04-T-2659-20,6637.23,6222.10931412836,1,24_Big6_MASMI
OH13-88-61,7157.55,6144.491289699889,1,24_Big6_MASMI
IL2021-43872,5741.09,6363.936934593002,1,24_Big6_MASMI
IL16LCSDH-10-T-2665-21,6493.98,6111.679947856446,1,24_Big6_MASMI
IL16LCSDH-10-T-2665-21,6493.98,6111.679947856446,1,24_Big6_MASMI
IL2021-44005,6176.18,5838.839176425501,1,24_Big6_MASMI
IL2021-16726,5197.85,6278.821677703946,1,24_Big6_MASMI
IL16LCSDH-10-T-2665-22,7278.89,6151.675069613374,1,24_Big6_MASMI
IL2021-28801,7102.44,5995.79658310285,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-40,6030.71,6380.136556264179,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-40,6030.71,6380.136556264179,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-28,5973.93,6371.105032698396,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-28,5973.93,6371.105032698396,1,24_Big6_MASMI
IL16-8048,7027.85,5718.593701691804,1,24_Big6_MASMI
IL16LCSDH-10-T-2665-41,6724.25,5882.1870387025265,1,24_Big6_MASMI
IL16LCSDH-10-T-2665-41,6724.25,5882.1870387025265,1,24_Big6_MASMI
IL2021-15254,6637.53,5470.183627203085,1,24_Big6_MASMI
IL2021-22316,6173.59,6480.04139054351,1,24_Big6_MASMI
IL2021-22316,6173.59,6480.04139054351,1,24_Big6_MASMI
IL16LCSDH-11-T-2666-206,5472.48,6270.603244765642,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-43,5836.55,6375.802402880774,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-43,5836.55,6375.802402880774,1,24_Big6_MASMI
IL16LCSDH-04-T-2659-3,7004.9,6468.829727450957,1,24_Big6_MASMI
IL16LCSDH-04-T-2659-3,7004.9,6468.829727450957,1,24_Big6_MASMI
OH15-191-52,6917.0,6469.876197330663,1,24_Big6_MASMI
OH15-191-52,6917.0,6469.876197330663,1,24_Big6_MASMI
IL18-23760,5841.59,5832.593871366067,1,24_Big6_MASMI
IL18-23760,5841.59,5832.593871366067,1,24_Big6_MASMI
IL16LCSDH-08-T-2663-55,6292.2,6291.271914892596,1,24_Big6_MASMI
IL16LCSDH-08-T-2663-55,6292.2,6291.271914892596,1,24_Big6_MASMI
IL2021-19401,6715.24,5977.617247837665,1,24_Big6_MASMI
IL07-19334,6508.7,6326.875486562281,1,24_Big6_MASMI
IL07-19334,6508.7,6326.875486562281,1,24_Big6_MASMI
IL2021-41721,6378.65,5298.762467824998,1,24_Big6_MASMI
IL2021-13707,4771.94,5615.754724640935,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-23,6249.42,6315.214498523811,1,24_Big6_MASMI
IL16LCSDH-09-T-2664-23,6249.42,6315.214498523811,1,24_Big6_MASMI
IL2021-15134,5805.05,6444.924946822039,1,24_Big6_MASMI
IL12-26004,4155.03,5630.129303224532,1,24_Big6_MASMI
IL2021-24143,6253.58,5868.24190076287,1,24_Big6_MASMI
IL16LCSDH-07-T-2662-202,6228.84,6488.285994242286,1,24_Big6_MASMI
IL16LCSDH-07-T-2662-202,6228.84,6488.285994242286,1,24_Big6_MASMI
IL2021-37737,5685.11,5659.032951236363,1,24_Big6_MASMI
IL19-21848,8509.19589147472,6164.835084273849,1,Jessica_2023_BLAVA
IL19-21848,8509.19589147472,6164.835084273849,1,Jessica_2023_BLAVA
IL19-12926,6968.37058685746,6404.279169356012,1,Jessica_2023_BLAVA
IL19-12926,6968.37058685746,6404.279169356012,1,Jessica_2023_BLAVA
IL19-5632,7781.16653400253,6498.112905345396,1,Jessica_2023_BLAVA
IL19-5632,7781.16653400253,6498.112905345396,1,Jessica_2023_BLAVA
IL16LCSDH-04-T-2659-232,7926.06497198746,7172.517009156898,1,Jessica_2023_BLAVA
KASKASKIA,7570.55454714279,5966.3871907425455,1,Jessica_2023_BLAVA
KASKASKIA,7570.55454714279,5966.3871907425455,1,Jessica_2023_BLAVA
IL16LCSDH-11-T-2666-208,7723.14193444246,6722.893508131003,1,Jessica_2023_BLAVA
IL16LCSDH-11-T-2666-208,7723.14193444246,6722.893508131003,1,Jessica_2023_BLAVA
IL12-26004,7536.31175492513,6146.138160426246,1,Jessica_2023_BLAVA
IL12-26004,7536.31175492513,6146.138160426246,1,Jessica_2023_BLAVA
IL19-13414,7835.35293047892,6678.284332742786,1,Jessica_2023_BLAVA
IL19-13414,7835.35293047892,6678.284332742786,1,Jessica_2023_BLAVA
IL16LCSDH-04-T-2659-3,8474.7524088997,7263.8906005140325,1,Jessica_2023_BLAVA
IL16LCSDH-04-T-2659-3,8474.7524088997,7263.8906005140325,1,Jessica_2023_BLAVA
IL16LCSDH-09-T-2664-36,8258.00682299434,7985.4937048803,1,Jessica_2023_BLAVA
IL16LCSDH-09-T-2664-36,8258.00682299434,7985.4937048803,1,Jessica_2023_BLAVA
IL19-22757,7260.97712782972,6734.894238721298,1,Jessica_2023_BLAVA
IL19-22757,7260.97712782972,6734.894238721298,1,Jessica_2023_BLAVA
IL16LCSDH-09-T-2664-20,7701.41720326259,7730.089634479613,1,Jessica_2023_BLAVA
IL19-18826,7490.5668966035,6251.947600870479,1,Jessica_2023_BLAVA
IL19-18826,7490.5668966035,6251.947600870479,1,Jessica_2023_BLAVA
IL16LCSDH-07-T-2662-22,7165.97532993341,5835.3109409178005,1,Jessica_2023_BLAVA
IL19-18725,7746.77322401689,7329.1952969239,1,Jessica_2023_BLAVA
IL19-18725,7746.77322401689,7329.1952969239,1,Jessica_2023_BLAVA
IL16LCSDH-01-T-863-58,8165.83977639522,7140.532578152075,1,Jessica_2023_BLAVA
