study_db_id,season,germplasm_db_id,germplasmName,observation_unit_db_id,observation_unit_name,rep,block,plot,row,column,observation_variable_name,value,project_id,file_name,download_url,studyName
10902.0,2023.0,1451322.0,IL16LCSDH-09-T-2664-16,1631353.0,Jessica_2023_WARVA_1,1.0,1.0,1.0,1.0,2.0,Grain yield - kg/ha|CO_321:0001218,8228.05378716439,,,,Jessica_2023_WARVA
10902.0,2023.0,1445276.0,IL19-18156,1631523.0,Jessica_2023_WARVA_10,3.0,3.0,10.0,1.0,11.0,Grain yield - kg/ha|CO_321:0001218,6806.41346850037,,,,Jessica_2023_WARVA
10902.0,2023.0,1445485.0,IL19-6946,1631411.0,Jessica_2023_WARVA_100,1.0,1.0,100.0,9.0,5.0,Grain yield - kg/ha|CO_321:0001218,7853.82898649969,,,,Jessica_2023_WARVA
10902.0,2023.0,1445550.0,IL19-10123,1631346.0,Jessica_2023_WARVA_101,1.0,1.0,101.0,9.0,6.0,Grain yield - kg/ha|CO_321:0001218,7095.06891806288,,,,Jessica_2023_WARVA
10902.0,2023.0,1481944.0,IL16LCSDH-06-T-2661-202,1631498.0,Jessica_2023_WARVA_105,3.0,3.0,105.0,9.0,10.0,Grain yield - kg/ha|CO_321:0001218,6856.38536747302,,,,Jessica_2023_WARVA
10902.0,2023.0,227860.0,IL12-26004,1631350.0,Jessica_2023_WARVA_107,3.0,3.0,107.0,9.0,12.0,Grain yield - kg/ha|CO_321:0001218,6698.542401441,,,,Jessica_2023_WARVA
10902.0,2023.0,1345096.0,IL19-14617,1631563.0,Jessica_2023_WARVA_109,3.0,3.0,109.0,10.0,13.0,Grain yield - kg/ha|CO_321:0001218,7156.4174516661,,,,Jessica_2023_WARVA
10902.0,2023.0,1445400.0,IL19-17546,1631416.0,Jessica_2023_WARVA_110,3.0,3.0,110.0,10.0,12.0,Grain yield - kg/ha|CO_321:0001218,7065.52980609492,,,,Jessica_2023_WARVA
10902.0,2023.0,1445411.0,IL19-27565,1631578.0,Jessica_2023_WARVA_111,3.0,3.0,111.0,10.0,11.0,Grain yield - kg/ha|CO_321:0001218,6734.47851854858,,,,Jessica_2023_WARVA
10902.0,2023.0,1445442.0,IL19-4151,1631341.0,Jessica_2023_WARVA_112,3.0,3.0,112.0,10.0,10.0,Grain yield - kg/ha|CO_321:0001218,6619.24462400502,,,,Jessica_2023_WARVA
10902.0,2023.0,1445472.0,IL19-13978,1631560.0,Jessica_2023_WARVA_113,3.0,3.0,113.0,10.0,9.0,Grain yield - kg/ha|CO_321:0001218,6592.55280648149,,,,Jessica_2023_WARVA
10902.0,2023.0,1445521.0,IL19-21467,1631554.0,Jessica_2023_WARVA_115,1.0,1.0,115.0,10.0,7.0,Grain yield - kg/ha|CO_321:0001218,6598.09687760245,,,,Jessica_2023_WARVA
10902.0,2023.0,1484662.0,IL16LCSDH-04-T-2659-207,1631408.0,Jessica_2023_WARVA_116,1.0,1.0,116.0,10.0,6.0,Grain yield - kg/ha|CO_321:0001218,8012.24893730894,,,,Jessica_2023_WARVA
10902.0,2023.0,220541.0,IL07-19334,1631566.0,Jessica_2023_WARVA_117,1.0,1.0,117.0,10.0,5.0,Grain yield - kg/ha|CO_321:0001218,8682.65507593572,,,,Jessica_2023_WARVA
10902.0,2023.0,1485797.0,IL16LCSDH-06-T-2661-212,1631344.0,Jessica_2023_WARVA_119,1.0,1.0,119.0,10.0,3.0,Grain yield - kg/ha|CO_321:0001218,7625.28029895444,,,,Jessica_2023_WARVA
10902.0,2023.0,1445333.0,IL19-26456,1631399.0,Jessica_2023_WARVA_12,3.0,3.0,12.0,1.0,13.0,Grain yield - kg/ha|CO_321:0001218,7363.05326082143,,,,Jessica_2023_WARVA
10902.0,2023.0,1482670.0,IL16LCSDH-01-T-863-63,1631354.0,Jessica_2023_WARVA_121,1.0,1.0,121.0,11.0,2.0,Grain yield - kg/ha|CO_321:0001218,7436.89476916784,,,,Jessica_2023_WARVA
10902.0,2023.0,1445441.0,IL19-5122,1631542.0,Jessica_2023_WARVA_122,1.0,1.0,122.0,11.0,3.0,Grain yield - kg/ha|CO_321:0001218,7897.0401290601,,,,Jessica_2023_WARVA
10902.0,2023.0,1451533.0,IL16LCSDH-09-T-2664-43,1631572.0,Jessica_2023_WARVA_123,1.0,1.0,123.0,11.0,4.0,Grain yield - kg/ha|CO_321:0001218,8566.29229813221,,,,Jessica_2023_WARVA
10902.0,2023.0,1445319.0,IL19-26709,1631475.0,Jessica_2023_WARVA_129,3.0,3.0,129.0,11.0,10.0,Grain yield - kg/ha|CO_321:0001218,6153.99420314844,,,,Jessica_2023_WARVA
10902.0,2023.0,1445399.0,IL19-14845,1631382.0,Jessica_2023_WARVA_13,3.0,3.0,13.0,2.0,13.0,Grain yield - kg/ha|CO_321:0001218,7076.09113614885,,,,Jessica_2023_WARVA
10902.0,2023.0,220541.0,IL07-19334,1631339.0,Jessica_2023_WARVA_131,3.0,3.0,131.0,11.0,12.0,Grain yield - kg/ha|CO_321:0001218,8111.82898398154,,,,Jessica_2023_WARVA
10902.0,2023.0,1445455.0,IL19-18725,1631364.0,Jessica_2023_WARVA_132,3.0,3.0,132.0,11.0,13.0,Grain yield - kg/ha|CO_321:0001218,8303.19978283332,,,,Jessica_2023_WARVA
10902.0,2023.0,1485175.0,IL16LCSDH-01-T-863-5,1631337.0,Jessica_2023_WARVA_133,4.0,4.0,133.0,12.0,13.0,Grain yield - kg/ha|CO_321:0001218,7233.80867070753,,,,Jessica_2023_WARVA
10902.0,2023.0,1482747.0,IL16LCSDH-01-T-863-72,1631483.0,Jessica_2023_WARVA_134,4.0,4.0,134.0,12.0,12.0,Grain yield - kg/ha|CO_321:0001218,6935.11870327902,,,,Jessica_2023_WARVA
