germplasmName,studyName,value,studydbid,studydescription,trialType,breedingProgramDbId,breedingProgramName,breedingProgramDescription,studyYear,studyDesign,locationdbid,locationName,plantingdate,harvestdate,plotWidth,plotLength,plantsPerPlot,numberBlocks,numberReps,fieldSize,fieldtrialisplannedtobegenotyped,fieldtrialisplannedtocross,folderDbId,folderName,folderDescription,managementFactors,season_length,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN
PIONEER25R40,AYT_2019_ACRE,4394.62299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,AYT_2019_ACRE,5246.875282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,AYT_2019_ACRE,3718.205853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,AYT_2019_ACRE,3277.778372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y4_SWPAC,2811.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y4_SWPAC,3338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y4_SWPAC,3282.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y3_1_Tier1,2944.700505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y3_1_Tier1,1640.700281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y3_1_Tier1,2664.700457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y4_Tier3_ACRE,6310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y4_Tier3_ACRE,6320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y4_Tier3_ACRE,3320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y4_Tier3_ACRE,4620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y2_3,4413.268446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y2_3,4954.982538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y4_Tier1_ACRE,2654.700455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y4_Tier1_ACRE,2721.700467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y4_Tier1_ACRE,2305.700395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y4_Tier1_ACRE,2479.700425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y2_1,2362.626578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y2_1,2326.339188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y2_2,4376.90614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER25R40,2020_Y2_2,4410.613289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECK726,2021_Y1-4,3134.323277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECK726,2021_Y1-4,3610.595265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECK726,2021_SPY1_FROH_NorGrains,2925.670787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECK726,2021_SPY1_FROH_NorGrains,4145.834262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECK726,2021_SPY1_FROH_NorGrains,3456.373859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECK726,2021_SPY1_FROH_NorGrains,3864.606992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECK726,2021_SPY1_FROH_NorGrains,4150.370186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECK726,2021_Y1-5,3565.236028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECK726,2021_Y1-5,3569.771952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECK726,2021_Y1-3,3483.589402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21PU-0280,2021_Y1-3,3116.179582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21PU-0281,2021_Y1-3,3256.793217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21PU-0282,2021_Y1-3,3116.179582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECK726,2021_Y1-3,2930.20671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECK726,2021_Y2_1_NIFA_WestLafayette,3206.898056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECK726,2021_Y2_1_NIFA_WestLafayette,3678.634121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECK726,2021_Y2_1_NIFA_Vincennes,2922.949232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECK726,2021_Y2_1_NIFA_Vincennes,2899.362429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECK726,2021_Y1-1,3379.263157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECK726,2021_Y1-1,3370.191309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECK726,2021_Y1-2,3510.804944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
