studyName,missing_n
25_Big6_MASON_MASMI,62
25_MSU_AYT_MI_HURMI,57
25_MSU_AYT_MI_CENMI,57
25_MSU_AYT_MI_MONMI,56
25_MSU_AYT_MI_SANMI,56
25_MSU_AYT_MI_ALLMI,54
OHRWW_2023_MAD,48
25_MSU_PYT_SVREC,40
25_MSU_PYT_MASMI,40
OHRWW_2023_SPO,39
OWW_2020_MAD,23
OWW_2021_DANIL,21
OWW_2021_MAD,21
OWW_2020_DANIL,19
24_MSU_PYT_1_SVREC,16
24_MSU_PYT_1_MONMI,16
24_MSU_PYT_1_MASMI,16
OWW_2021_SPO,15
24_MSU_PYT_2_MASMI,14
24_MSU_PYT_2_MONMI,14
24_MSU_PYT_2_SVREC,14
AWY1_PULWA_2024,12
AY3-8_YIELD_CRK-MN_2022,12
AWY1_LNDWA_2024,12
AY3-8_YIELD_MOR-MN_2022,12
AWY1_RITWA_2024,12
AWY1_KAHWA_2024,12
AY3-8_YIELD_STP-MN_2022,12
AWY1_HARWA_2024,12
AY3-8_YIELD_ROS-MN_2022,12
24_MSU_AYT_SANMI,10
24_MSU_AYT_TIFOH,10
24_MSU_AYT_SVREC,10
24_MSU_AYT_MASMI,10
24_MSU_AYT_NAPOH,10
24_MSU_AYT_MONMI,10
24_MSU_AYT_ALLMI,10
24_MSU_AYT_BLUIN,10
24_MSU_AYT_CENIL,10
24_MSU_AYT_CENMI,10
24_MSU_AYT_CHAIL,10
24_MSU_AYT_CHAMO,10
24_MSU_AYT_CRAIN,10
24_MSU_AYT_HENKY,10
24_MSU_AYT_HMLIL,10
24_MSU_AYT_HURMI,10
24_MSU_AYT_LIMOH,10
24_MSU_AYT_MASIL,10
24_MSU_AYT_MEXMO,10
24_MSU_AYT_HOPKY,10
AWY1_DVP_2025,9
AWY1_KAH_2025,9
AWY1_LIN_2025,9
AWY1_RIT_2025,9
StateWheat_2022_BLAVA,8
AY3-8_YIELD_STR-MN_2022,8
AY3-8_YIELD_STE-MN_2022,8
AY3-8_YIELD_OKL-MN_2022,8
StateWheat_2022_WARVA,8
24_MSU_PYT_3_SVREC,8
AY3-8_YIELD_FER-MN_2022,8
MSU_Neo_23,8
23_MSU_PYT_2_HURMI,8
23_MSU_PYT_2_MASMI,8
23_MSU_PYT_2_MONMI,8
23_MSU_PYT_2_SVREC,8
24_Big6_MASMI,8
24_Big6_SVREC,8
24_MSU_PYT_3_MASMI,8
24_MSU_PYT_3_MONMI,8
AY3-8_YIELD_HAL-MN_2022,8
AY3-8_YIELD_PER-MN_2022,7
OWW_2022_MAD,6
MSU_Neo_22,6
AYTred_2022_PleasantTwp,6
PYT2_2021_BrookfieldTwp,6
PYT1_2021_BrookfieldTwp,6
PYT1_2021_Deckerville,6
PYT1_2021_Frankenmuth,6
PYT1_2021_Mason,6
PYT2_2021_Mason,6
PYT2_2021_Frankenmuth,6
PYT2_2021_Deckerville,6
AYTred_2022_Centralia,6
AYTred_2022_Champaign,6
AYTred_2022_Charleston,6
AYTred_2022_Frankenmuth,6
AYTred_2022_Hillman,6
OWW_2022_SPO,6
AYTred_2022_Neoga,6
23_MSU_PYT_1_HURMI,6
23_MSU_PYT_1_MASMI,6
23_MSU_PYT_1_SVREC,6
23_MSU_PYT_1_MONMI,6
TP_2021_Frankenmuth,4
PYT3_2021_BrookfieldTwp,4
PYT3_2021_Deckerville,4
PYT3_2021_Frankenmuth,4
PYT3_2021_Mason,4
StateWheat_2023_BLAVA,4
StateWheat_2023_WARVA,4
UniformHRW_2023_WARVA,4
UniformHRW_2023_BLAVA,4
23_MSU_PYT_3_SVREC,4
23_MSU_PYT_3_MONMI,4
23_MSU_PYT_3_MASMI,4
23_MSU_PYT_3_HURMI,4
TP_2021_Mason,4
OKST2366,3
AWY2_WAWWA_2024,3
OKST2364,3
AWY2_WAW_2025,3
OVT_Blv_23,3
OKST2362,3
Org_Dan_21,3
OVT_Elk_23,3
OVT_Ham_23,3
OVT_Per_23,3
Org_Dan_23,3
HRWElite_2022_BLAVA,3
OKST2360,3
OVT_Stp_23,3
HRWElite_2022_WARVA,3
TXE_2023_McGregor,3
A6S_Urb_19,3
TXE_2022_Bushland-Irrigated,3
TXE_2022_McGregor,3
TXE_2023_Bushland-Irrigated,3
AWY2_DVPWA_2024,3
AWY2_DVP_2025,3
AWY2_PULWA_2024,3
AWY2_PUL_2025,3
OVT_Urb_23,3
Jessica_2023_WARVA,2
UniformSouthern_2023_WARVA,2
YT_Urb_23,2
YT_Stp_23,2
YT_Neo_23,2
YT_Blv_23,2
YT_Blk_23,2
YT_Addie_23,2
UniformSouthern_2023_BLAVA,2
UniformHRW_2022_WARVA,2
UniformHRW_2022_BLAVA,2
UniformEastern_2023_WARVA,2
UniformEastern_2023_BLAVA,2
UE_Neo_23,2
UESWWWN_2021_Frankenmuth,2
UESRWWN_2021_Mason,2
HRWPrelim_2022_WARVA,2
Jessica_2023_BLAVA,2
23_Big6_MAS,2
HRWPrelim_2022_BLAVA,2
Big6_Urb_23,2
Big6_Mas_23,2
Big6_Laf_23,2
Big6_Ith_23,2
Big6_Fre_23,2
Big6_Fra_23,2
23_Big6_SVREC,2
AYTred_2020_Mason,2
AYTred_2020_Frankenmuth,2
AYT_2019_Mason,2
AYT_2019_Frankenmuth,2
AYT_2018_Mason,2
AYT_2018_Frankenmuth,2
AYTWhite_2021_Mason,2
AYTWhite_2021_Frankenmuth,2
AYTWhite_2021_Deckerville,2
AYTWhite_2021_BrookfieldTwp,2
AYTRed_2021_Mason,2
AYTRed_2021_Frankenmuth,2
AYTRed_2021_Deerfield,2
AYTRed_2021_Deckerville,2
AYTRed_2021_BrookfieldTwp,2
Big6_Prn_23,2
AYTWhite_2021_Deerfield,2
Big6_Vin_23,2
CornellMaster_2017_Ketola,2
Big6_Woo_23,2
CornellMaster_2017_Snyder,2
YT_War_23,2
CornellMaster_2009_Helfer,1
5STPRE_2019_WestLafayette,1
UIL-WHEAT-2017-HAMPSHIRE,1
UIL-WHEAT-2017-NEOGA,1
UIL-WHEAT-2017-PERRY,1
UIL-WHEAT-2017-URBANA,1
UIL-WHEAT-2018-BELLEVILLE,1
