germplasmName,trial,trait_name,value
PIONEER25R40,AYT_2019_ACRE,grain_yield,4394.62299
PIONEER25R40,AYT_2019_ACRE,grain_yield,5246.875282
PIONEER25R40,AYT_2019_ACRE,grain_yield,3718.205853
PIONEER25R40,AYT_2019_ACRE,grain_yield,3277.778372
PIONEER25R40,2020_Y4_SWPAC,grain_yield,2811.0
PIONEER25R40,2020_Y4_SWPAC,grain_yield,3338.0
PIONEER25R40,2020_Y4_SWPAC,grain_yield,3282.5
PIONEER25R40,2020_Y3_1_Tier1,grain_yield,2944.700505
PIONEER25R40,2020_Y3_1_Tier1,grain_yield,1640.700281
PIONEER25R40,2020_Y3_1_Tier1,grain_yield,2664.700457
PIONEER25R40,2020_Y4_Tier3_ACRE,grain_yield,6310.0
PIONEER25R40,2020_Y4_Tier3_ACRE,grain_yield,6320.0
PIONEER25R40,2020_Y4_Tier3_ACRE,grain_yield,3320.0
PIONEER25R40,2020_Y4_Tier3_ACRE,grain_yield,4620.0
PIONEER25R40,2020_Y2_3,grain_yield,4413.268446
PIONEER25R40,2020_Y2_3,grain_yield,4954.982538
PIONEER25R40,2020_Y4_Tier1_ACRE,grain_yield,2654.700455
PIONEER25R40,2020_Y4_Tier1_ACRE,grain_yield,2721.700467
PIONEER25R40,2020_Y4_Tier1_ACRE,grain_yield,2305.700395
PIONEER25R40,2020_Y4_Tier1_ACRE,grain_yield,2479.700425
PIONEER25R40,2020_Y2_1,grain_yield,2362.626578
PIONEER25R40,2020_Y2_1,grain_yield,2326.339188
PIONEER25R40,2020_Y2_2,grain_yield,4376.90614
PIONEER25R40,2020_Y2_2,grain_yield,4410.613289
BECK726,2021_Y1-4,grain_yield,3134.323277
BECK726,2021_Y1-4,grain_yield,3610.595265
BECK726,2021_SPY1_FROH_NorGrains,grain_yield,2925.670787
BECK726,2021_SPY1_FROH_NorGrains,grain_yield,4145.834262
BECK726,2021_SPY1_FROH_NorGrains,grain_yield,3456.373859
BECK726,2021_SPY1_FROH_NorGrains,grain_yield,3864.606992
BECK726,2021_SPY1_FROH_NorGrains,grain_yield,4150.370186
BECK726,2021_Y1-5,grain_yield,3565.236028
