trial,total_accessions,genotyped,missing,pct_genotyped,pct_missing
2017_WestLafayette,2,0,2,0.0,100.0
NIdahoCereals_SWW_BON_2017,4,0,4,0.0,100.0
NIdahoCereals_SWW_LEW_2016,4,0,4,0.0,100.0
NIdahoCereals_SWW_LEW_2017,4,0,4,0.0,100.0
NIdahoCereals_SWW_LEW_2018,5,0,5,0.0,100.0
NIdahoCereals_SWW_LEW_2019,7,0,7,0.0,100.0
NIdahoCereals_SWW_LEW_2020,5,0,5,0.0,100.0
NIdahoCereals_SWW_LEW_2021,5,0,5,0.0,100.0
NIdahoCereals_SWW_LEW_2022,4,0,4,0.0,100.0
NIdahoCereals_SWW_LEW_2023,6,0,6,0.0,100.0
NIdahoCereals_SWW_MOS_2015,3,0,3,0.0,100.0
NIdahoCereals_SWW_MOS_2016,4,0,4,0.0,100.0
NIdahoCereals_SWW_MOS_2018,5,0,5,0.0,100.0
NIdahoCereals_SWW_MOS_2019,7,0,7,0.0,100.0
NIdahoCereals_SWW_MOS_2020,5,0,5,0.0,100.0
NIdahoCereals_SWW_MOS_2023,6,0,6,0.0,100.0
NIdahoCereals_SWW_TEN_2014,1,0,1,0.0,100.0
NIdahoCereals_SWW_TEN_2015,3,0,3,0.0,100.0
NIdahoCereals_SWW_TEN_2016,4,0,4,0.0,100.0
NIdahoCereals_SWW_TEN_2017,4,0,4,0.0,100.0
NIdahoCereals_SWW_TEN_2018,5,0,5,0.0,100.0
NIdahoCereals_SWW_TEN_2019,7,0,7,0.0,100.0
NIdahoCereals_SWW_TEN_2020,5,0,5,0.0,100.0
NIdahoCereals_SWW_LEW_2015,3,0,3,0.0,100.0
NIdahoCereals_SWW_LEW_2014,1,0,1,0.0,100.0
NIdahoCereals_SWW_GEN_2023,6,0,6,0.0,100.0
NIdahoCereals_SWW_CRA_2021,5,0,5,0.0,100.0
NIdahoCereals_SWW_BON_2020,4,0,4,0.0,100.0
NIdahoCereals_SWW_BON_2023,6,0,6,0.0,100.0
NIdahoCereals_SWW_CRA_2014,1,0,1,0.0,100.0
NIdahoCereals_SWW_CRA_2015,3,0,3,0.0,100.0
NIdahoCereals_SWW_CRA_2016,4,0,4,0.0,100.0
NIdahoCereals_SWW_CRA_2017,4,0,4,0.0,100.0
NIdahoCereals_SWW_CRA_2018,5,0,5,0.0,100.0
NIdahoCereals_SWW_CRA_2019,7,0,7,0.0,100.0
NIdahoCereals_SWW_CRA_2020,5,0,5,0.0,100.0
NIdahoCereals_SWW_CRA_2022,4,0,4,0.0,100.0
NIdahoCereals_SWW_GEN_2022,4,0,4,0.0,100.0
NIdahoCereals_SWW_CRA_2023,6,0,6,0.0,100.0
NIdahoCereals_SWW_GEN_2014,1,0,1,0.0,100.0
NIdahoCereals_SWW_GEN_2015,3,0,3,0.0,100.0
NIdahoCereals_SWW_GEN_2016,4,0,4,0.0,100.0
NIdahoCereals_SWW_GEN_2017,4,0,4,0.0,100.0
NIdahoCereals_SWW_GEN_2018,5,0,5,0.0,100.0
NIdahoCereals_SWW_GEN_2019,7,0,7,0.0,100.0
NIdahoCereals_SWW_GEN_2020,5,0,5,0.0,100.0
NIdahoCereals_SWW_GEN_2021,5,0,5,0.0,100.0
NIdahoCereals_SWW_TEN_2021,5,0,5,0.0,100.0
NIdahoCereals_SWW_TEN_2022,4,0,4,0.0,100.0
NIdahoCereals_SWW_TEN_2023,6,0,6,0.0,100.0
OHRWW_2023_MAD,162,0,162,0.0,100.0
NSGC_2011_NormN_Irr_Aberdeen,1,0,1,0.0,100.0
NUWWSN_2015_Blacksburg,2,0,2,0.0,100.0
NUWWSN_2016_Warsaw,1,0,1,0.0,100.0
NUWWSN_2017_MountHolly,2,0,2,0.0,100.0
NUWWSN_2018_Warsaw,1,0,1,0.0,100.0
NUWWSN_2019_Warsaw,1,0,1,0.0,100.0
NUWWSN_2020_Warsaw,3,0,3,0.0,100.0
NUse-EffVal_2014_Mead,3,0,3,0.0,100.0
Nuse-EffVal_2015_Mead,3,0,3,0.0,100.0
OHRWW_2025_SPO,4636,0,4636,0.0,100.0
NSGC_2011_LowN_Dry_Aberdeen,1,0,1,0.0,100.0
OKST2360,1,0,1,0.0,100.0
OKST2362,1,0,1,0.0,100.0
OKST2364,1,0,1,0.0,100.0
OKST2366,1,0,1,0.0,100.0
ORG_Dan_19,9,0,9,0.0,100.0
ORG_Urb_19,9,0,9,0.0,100.0
OVT_Blv_23,3,0,3,0.0,100.0
OVT_Elk_23,3,0,3,0.0,100.0
OVT_Ham_23,4,0,4,0.0,100.0
NSGC_2011_NormN_Dry_Aberdeen,1,0,1,0.0,100.0
NSGC-NormN-Irr_2013_Aberdeen,5,0,5,0.0,100.0
NIdahoCereals_WWCL_BON_2020,2,0,2,0.0,100.0
NIdahoCereals_WWCL_LEW_2020,2,0,2,0.0,100.0
NIdahoCereals_WWCL_BON_2023,2,0,2,0.0,100.0
NIdahoCereals_WWCL_CRA_2020,2,0,2,0.0,100.0
NIdahoCereals_WWCL_CRA_2021,2,0,2,0.0,100.0
NIdahoCereals_WWCL_CRA_2022,2,0,2,0.0,100.0
NIdahoCereals_WWCL_CRA_2023,2,0,2,0.0,100.0
NIdahoCereals_WWCL_GEN_2020,2,0,2,0.0,100.0
NIdahoCereals_WWCL_GEN_2021,2,0,2,0.0,100.0
NIdahoCereals_WWCL_GEN_2022,2,0,2,0.0,100.0
