germplasmName,studyName,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN
PIONEER25R40,2020_Y4_SWPAC,,,,,,,
PIONEER25R40,2020_Y4_SWPAC,,,,,,,
PIONEER25R40,2020_Y4_SWPAC,,,,,,,
PIONEER25R40,2020_Y3_1_Tier1,,,,,,,
PIONEER25R40,2020_Y3_1_Tier1,,,,,,,
PIONEER25R40,2020_Y3_1_Tier1,,,,,,,
PIONEER25R40,2020_Y4_Tier3_ACRE,,,,,,,
PIONEER25R40,2020_Y4_Tier3_ACRE,,,,,,,
PIONEER25R40,2020_Y4_Tier3_ACRE,,,,,,,
PIONEER25R40,2020_Y4_Tier3_ACRE,,,,,,,
PIONEER25R40,2020_Y4_Tier1_ACRE,,,,,,,
PIONEER25R40,2020_Y4_Tier1_ACRE,,,,,,,
PIONEER25R40,2020_Y4_Tier1_ACRE,,,,,,,
PIONEER25R40,2020_Y4_Tier1_ACRE,,,,,,,
BECK726,2021_SPY1_FROH_NorGrains,,,,,,,
BECK726,2021_SPY1_FROH_NorGrains,,,,,,,
BECK726,2021_SPY1_FROH_NorGrains,,,,,,,
BECK726,2021_SPY1_FROH_NorGrains,,,,,,,
BECK726,2021_SPY1_FROH_NorGrains,,,,,,,
BECK726,2021_Y1-3,,,,,,,
21PU-0280,2021_Y1-3,,,,,,,
21PU-0281,2021_Y1-3,,,,,,,
21PU-0282,2021_Y1-3,,,,,,,
BECK726,2021_Y1-3,,,,,,,
BECK726,2021_SPY1_FRKY_NorGrains,,,,,,,
BECK726,2021_SPY1_FRKY_NorGrains,,,,,,,
BECK726,2021_SPY1_FRKY_NorGrains,,,,,,,
BECK726,2021_SPY1_FRKY_NorGrains,,,,,,,
BECK726,2021_SPY1_FRKY_NorGrains,,,,,,,
BECK726,2021_SPY1_FRIL_NorGrains,,,,,,,
BECK726,2021_SPY1_FRIL_NorGrains,,,,,,,
BECK726,2021_SPY1_FRIL_NorGrains,,,,,,,
BECK726,2021_SPY1_FRIL_NorGrains,,,,,,,
BECK726,2021_SPY1_FRIL_NorGrains,,,,,,,
BECK726,2021_SPY1_FRIL_NorGrains,,,,,,,
BECK726,2022_SPY1-PUR1,,,,,,,
BECK726,2022_SPY1-PUR1,,,,,,,
BECK726,2022_SPY1-PUR1,,,,,,,
BECK726,2022_SPY1-PUR1,,,,,,,
BECK726,2022_SPY1-PUR2,,,,,,,
BECK726,2022_SPY1-PUR2,,,,,,,
BECK726,2022_SPY1-PUR2,,,,,,,
BECK726,2022_SPY1-PUR2,,,,,,,
BECK726,2022_Y1-1_MI,,,,,,,
BECK726,2022_Y1-1_MI,,,,,,,
BECK726,2022_Y1-1_MI,,,,,,,
22PU-3470,2022_Y1-1_MI,,,,,,,
BECK726,2022_Y1-1_MI,,,,,,,
22PU-3029,2022_Y1-1_MI,,,,,,,
B722,2024_Elite_ACRE,,,,,,,
21PU-0281,2024_Elite_ACRE,,,,,,,
B722,2024_Elite_ACRE,,,,,,,
BECK726,2024_Elite_ACRE,,,,,,,
BECK726,2024_Elite_ACRE,,,,,,,
BECK726,2024_Elite_ACRE,,,,,,,
21PU-0281,2024_Elite_ACRE,,,,,,,
B722,2024_Elite_ACRE,,,,,,,
21PU-0281,2024_Elite_ACRE,,,,,,,
BECK726,2024_Elite_ACRE,,,,,,,
21PU-0281,2024_Elite_ACRE,,,,,,,
B722,2024_Elite_ACRE,,,,,,,
21PU-0282,2024_Y3_1_ACRE,,,,,,,
21PU-0281,2024_Y3_1_ACRE,,,,,,,
21PU-0073,2024_Y3_1_ACRE,,,,,,,
21PU-0280,2024_Y3_1_ACRE,,,,,,,
21PU-0157,2024_Y3_1_ACRE,,,,,,,
BECK726,2024_Y3_1_ACRE,,,,,,,
21PU-0467,2024_Y3_1_ACRE,,,,,,,
21PU-0280,2024_Y3_1_ACRE,,,,,,,
21PU-0282,2024_Y3_1_ACRE,,,,,,,
21PU-0280,2024_Y3_1_ACRE,,,,,,,
22PU-3470,2024_Y3_1_ACRE,,,,,,,
21PU-0507,2024_Y3_1_ACRE,,,,,,,
BECK726,2024_Y3_1_ACRE,,,,,,,
21PU-0073,2024_Y3_1_ACRE,,,,,,,
B722,2024_Y3_1_ACRE,,,,,,,
21PU-0281,2024_Y3_1_ACRE,,,,,,,
22PU-3029,2024_Y3_1_ACRE,,,,,,,
21PU-0467,2024_Y3_1_ACRE,,,,,,,
21PU-0507,2024_Y3_1_ACRE,,,,,,,
B722,2024_Y3_1_ACRE,,,,,,,
22PU-3029,2024_Y3_1_ACRE,,,,,,,
BECK726,2024_Y3_1_ACRE,,,,,,,
BECK726,2024_Y3_1_ACRE,,,,,,,
22PU-3470,2024_Y3_1_ACRE,,,,,,,
22PU-3029,2024_Y3_1_ACRE,,,,,,,
BECK726,2024_Y3_1_ACRE,,,,,,,
B722,2024_Y3_1_ACRE,,,,,,,
BECK726,2024_Y3_1_ACRE,,,,,,,
21PU-0281,2024_Y3_1_ACRE,,,,,,,
21PU-0073,2024_Y3_1_ACRE,,,,,,,
21PU-0280,2024_Y3_1_ACRE,,,,,,,
21PU-0157,2024_Y3_1_ACRE,,,,,,,
21PU-0507,2024_Y3_1_ACRE,,,,,,,
21PU-0282,2024_Y3_1_ACRE,,,,,,,
22PU-3470,2024_Y3_1_ACRE,,,,,,,
21PU-0467,2024_Y3_1_ACRE,,,,,,,
21PU-0073,2024_Y3_1_ACRE,,,,,,,
22PU-3470,2024_Y3_1_ACRE,,,,,,,
21PU-0507,2024_Y3_1_ACRE,,,,,,,
B722,2024_Y3_1_ACRE,,,,,,,
21PU-0157,2024_Y3_1_ACRE,,,,,,,
BECK726,2024_Y3_1_ACRE,,,,,,,
21PU-0282,2024_Y3_1_ACRE,,,,,,,
21PU-0281,2024_Y3_1_ACRE,,,,,,,
21PU-0467,2024_Y3_1_ACRE,,,,,,,
22PU-3029,2024_Y3_1_ACRE,,,,,,,
21PU-0157,2024_Y3_1_ACRE,,,,,,,
BECK726,2024_Y3_1_ACRE,,,,,,,
22PU-3170,2024_Y2_2_ACRE,,,,,,,
22PU-3092,2024_Y2_2_ACRE,,,,,,,
B722,2024_Y2_2_ACRE,,,,,,,
22PU-3041,2024_Y2_2_ACRE,,,,,,,
B722,2024_Y2_2_ACRE,,,,,,,
22PU-3438,2024_Y2_2_ACRE,,,,,,,
22PU-3409,2024_Y2_2_ACRE,,,,,,,
22PU-3409,2024_Y2_2_ACRE,,,,,,,
B722,2024_Y2_2_ACRE,,,,,,,
22PU-3092,2024_Y2_2_ACRE,,,,,,,
B722,2024_Y2_2_ACRE,,,,,,,
22PU-3170,2024_Y2_2_ACRE,,,,,,,
B722,2024_Y2_2_ACRE,,,,,,,
B722,2024_Y2_2_ACRE,,,,,,,
B722,2024_Y2_2_ACRE,,,,,,,
B722,2024_Y2_2_ACRE,,,,,,,
22PU-3438,2024_Y2_2_ACRE,,,,,,,
22PU-3041,2024_Y2_2_ACRE,,,,,,,
B722,2024_Y2_2_ACRE,,,,,,,
B722,2024_Y2_2_ACRE,,,,,,,
B722,2024_Y2_2_ACRE,,,,,,,
22PU-3170,2024_Y2_2_ACRE,,,,,,,
22PU-3092,2024_Y2_2_ACRE,,,,,,,
22PU-3438,2024_Y2_2_ACRE,,,,,,,
B722,2024_Y2_2_ACRE,,,,,,,
22PU-3409,2024_Y2_2_ACRE,,,,,,,
22PU-3041,2024_Y2_2_ACRE,,,,,,,
22PU-3092,2024_Y2_2_ACRE,,,,,,,
B722,2024_Y2_2_ACRE,,,,,,,
B722,2024_Y2_2_ACRE,,,,,,,
22PU-3041,2024_Y2_2_ACRE,,,,,,,
22PU-3170,2024_Y2_2_ACRE,,,,,,,
B722,2024_Y2_2_ACRE,,,,,,,
22PU-3438,2024_Y2_2_ACRE,,,,,,,
22PU-3409,2024_Y2_2_ACRE,,,,,,,
B722,2024_Y2_2_ACRE,,,,,,,
B722,2024_Y1_2_ACRE,,,,,,,
B722,2024_Y1_2_ACRE,,,,,,,
B722,2024_Y1_2_ACRE,,,,,,,
B722,2024_Y1_2_ACRE,,,,,,,
B722,2024_Y1_2_ACRE,,,,,,,
B722,2024_Y1_2_ACRE,,,,,,,
B722,2024_Y1_2_ACRE,,,,,,,
B722,2024_Y1_2_ACRE,,,,,,,
B722,2024_Y1_1_ACRE,,,,,,,
B722,2024_Y1_1_ACRE,,,,,,,
B722,2024_Y1_1_ACRE,,,,,,,
B722,2024_Y1_1_ACRE,,,,,,,
B722,2024_Y1_1_ACRE,,,,,,,
B722,2024_Y1_1_ACRE,,,,,,,
B722,2024_Y1_1_ACRE,,,,,,,
B722,2024_Y1_1_ACRE,,,,,,,
B722,2024_Y2_1_ACRE,,,,,,,
22PU-1031,2024_Y2_1_ACRE,,,,,,,
22PU-1250,2024_Y2_1_ACRE,,,,,,,
BECK726,2024_Y2_1_ACRE,,,,,,,
22PU-1031,2024_Y2_1_ACRE,,,,,,,
22PU-0108,2024_Y2_1_ACRE,,,,,,,
BECK726,2024_Y2_1_ACRE,,,,,,,
B722,2024_Y2_1_ACRE,,,,,,,
22PU-1081,2024_Y2_1_ACRE,,,,,,,
B722,2024_Y2_1_ACRE,,,,,,,
B722,2024_Y2_1_ACRE,,,,,,,
22PU-1081,2024_Y2_1_ACRE,,,,,,,
BECK726,2024_Y2_1_ACRE,,,,,,,
BECK726,2024_Y2_1_ACRE,,,,,,,
22PU-1250,2024_Y2_1_ACRE,,,,,,,
22PU-0108,2024_Y2_1_ACRE,,,,,,,
BECK726,2024_Y2_1_ACRE,,,,,,,
B722,2024_Y2_1_ACRE,,,,,,,
BECK726,2024_Y2_1_ACRE,,,,,,,
22PU-1081,2024_Y2_1_ACRE,,,,,,,
22PU-1031,2024_Y2_1_ACRE,,,,,,,
B722,2024_Y2_1_ACRE,,,,,,,
22PU-1250,2024_Y2_1_ACRE,,,,,,,
22PU-0108,2024_Y2_1_ACRE,,,,,,,
22PU-0108,2024_Y2_1_ACRE,,,,,,,
B722,2024_Y2_1_ACRE,,,,,,,
BECK726,2024_Y2_1_ACRE,,,,,,,
22PU-1081,2024_Y2_1_ACRE,,,,,,,
22PU-1250,2024_Y2_1_ACRE,,,,,,,
B722,2024_Y2_1_ACRE,,,,,,,
BECK726,2024_Y2_1_ACRE,,,,,,,
22PU-1031,2024_Y2_1_ACRE,,,,,,,
B722,2025_Y2-2_ACRE,,,,,,,
BECK726,2025_Y2-2_ACRE,,,,,,,
B722,2025_Y2-2_ACRE,,,,,,,
BECK726,2025_Y2-2_ACRE,,,,,,,
B722,2025_Y2-2_ACRE,,,,,,,
B722,2025_Y2-2_ACRE,,,,,,,
BECK726,2025_Y2-2_ACRE,,,,,,,
B722,2025_Y2-2_ACRE,,,,,,,
B722,2025_Y2-2_ACRE,,,,,,,
B722,2025_Y2-2_ACRE,,,,,,,
BECK726,2025_Y2-2_ACRE,,,,,,,
B722,2025_Y2-2_ACRE,,,,,,,
22PU-3092,2025_Y3-1_ACRE,,,,,,,
22PU-0108,2025_Y3-1_ACRE,,,,,,,
BECK726,2025_Y3-1_ACRE,,,,,,,
22PU-3092,2025_Y3-1_ACRE,,,,,,,
22PU-1031,2025_Y3-1_ACRE,,,,,,,
22PU-3170,2025_Y3-1_ACRE,,,,,,,
22PU-3170,2025_Y3-1_ACRE,,,,,,,
22PU-3409,2025_Y3-1_ACRE,,,,,,,
22PU-3438,2025_Y3-1_ACRE,,,,,,,
22PU-3409,2025_Y3-1_ACRE,,,,,,,
22PU-3438,2025_Y3-1_ACRE,,,,,,,
22PU-3041,2025_Y3-1_ACRE,,,,,,,
B722,2025_Y3-1_ACRE,,,,,,,
BECK726,2025_Y3-1_ACRE,,,,,,,
22PU-1081,2025_Y3-1_ACRE,,,,,,,
22PU-1031,2025_Y3-1_ACRE,,,,,,,
B722,2025_Y3-1_ACRE,,,,,,,
22PU-3170,2025_Y3-1_ACRE,,,,,,,
22PU-0108,2025_Y3-1_ACRE,,,,,,,
BECK726,2025_Y3-1_ACRE,,,,,,,
22PU-3041,2025_Y3-1_ACRE,,,,,,,
22PU-1250,2025_Y3-1_ACRE,,,,,,,
22PU-3438,2025_Y3-1_ACRE,,,,,,,
22PU-3092,2025_Y3-1_ACRE,,,,,,,
22PU-1031,2025_Y3-1_ACRE,,,,,,,
22PU-3409,2025_Y3-1_ACRE,,,,,,,
22PU-3092,2025_Y3-1_ACRE,,,,,,,
22PU-1250,2025_Y3-1_ACRE,,,,,,,
22PU-3170,2025_Y3-1_ACRE,,,,,,,
BECK726,2025_Y3-1_ACRE,,,,,,,
22PU-3041,2025_Y3-1_ACRE,,,,,,,
22PU-1081,2025_Y3-1_ACRE,,,,,,,
22PU-3438,2025_Y3-1_ACRE,,,,,,,
22PU-3409,2025_Y3-1_ACRE,,,,,,,
22PU-1250,2025_Y3-1_ACRE,,,,,,,
22PU-0108,2025_Y3-1_ACRE,,,,,,,
B722,2025_Y3-1_ACRE,,,,,,,
22PU-1081,2025_Y3-1_ACRE,,,,,,,
22PU-1031,2025_Y3-1_ACRE,,,,,,,
22PU-0108,2025_Y3-1_ACRE,,,,,,,
22PU-1081,2025_Y3-1_ACRE,,,,,,,
22PU-1250,2025_Y3-1_ACRE,,,,,,,
22PU-3041,2025_Y3-1_ACRE,,,,,,,
B722,2025_Y3-1_ACRE,,,,,,,
B722,2025_Y1-5_ACRE,,,,,,,
B722,2025_Y1-5_ACRE,,,,,,,
BECK726,2025_Y1-5_ACRE,,,,,,,
B722,2025_Y1-5_ACRE,,,,,,,
BECK726,2025_Y1-5_ACRE,,,,,,,
B722,2025_Y1-5_ACRE,,,,,,,
BECK726,2025_Y1-5_ACRE,,,,,,,
B722,2025_Y1-5_ACRE,,,,,,,
BECK726,2025_Y1-5_ACRE,,,,,,,
B722,2025_Y1-5_ACRE,,,,,,,
BECK726,2025_Y1-5_ACRE,,,,,,,
BECK726,2025_Y1-5_ACRE,,,,,,,
B722,2025_Y2-1_ACRE,,,,,,,
BECK726,2025_Y2-1_ACRE,,,,,,,
