germplasmName,studyName,value
BECK726,2021_SPY1_FROH_NorGrains,6819.378365662829
BECK726,2021_Y1-3,6819.378365662829
21PU-0280,2021_Y1-3,4991.874249652337
21PU-0281,2021_Y1-3,3427.285154910621
21PU-0282,2021_Y1-3,4472.537858565017
BECK726,2021_SPY1_FRKY_NorGrains,6819.378365662829
BECK726,2021_SPY1_FRIL_NorGrains,6819.378365662829
BECK726,2022_SPY1-PUR1,6819.378365662829
BECK726,2022_SPY1-PUR2,6819.378365662829
BECK726,2022_Y1-1_MI,6819.378365662829
22PU-3470,2022_Y1-1_MI,9983.685843436979
22PU-3029,2022_Y1-1_MI,9451.28551318602
B722,2024_Elite_ACRE,4032.683612292635
21PU-0281,2024_Elite_ACRE,3427.285154910621
BECK726,2024_Elite_ACRE,6819.378365662829
21PU-0282,2024_Y3_1_ACRE,4472.537858565017
21PU-0281,2024_Y3_1_ACRE,3427.285154910621
21PU-0073,2024_Y3_1_ACRE,4367.510875941326
21PU-0280,2024_Y3_1_ACRE,4991.874249652337
21PU-0157,2024_Y3_1_ACRE,4033.653529336978
BECK726,2024_Y3_1_ACRE,6819.378365662829
21PU-0467,2024_Y3_1_ACRE,5169.512274020744
22PU-3470,2024_Y3_1_ACRE,9983.685843436979
21PU-0507,2024_Y3_1_ACRE,4889.42601776835
B722,2024_Y3_1_ACRE,4032.683612292635
22PU-3029,2024_Y3_1_ACRE,9451.28551318602
22PU-3170,2024_Y2_2_ACRE,3705.1599508237105
22PU-3092,2024_Y2_2_ACRE,3812.9220354026575
B722,2024_Y2_2_ACRE,4032.683612292635
22PU-3041,2024_Y2_2_ACRE,3940.6759618237106
22PU-3438,2024_Y2_2_ACRE,4104.021480192131
22PU-3409,2024_Y2_2_ACRE,3667.4739001921316
B722,2024_Y1_2_ACRE,4032.683612292635
B722,2024_Y1_1_ACRE,4032.683612292635
B722,2024_Y2_1_ACRE,4032.683612292635
22PU-1031,2024_Y2_1_ACRE,4108.111139602405
22PU-1250,2024_Y2_1_ACRE,3337.3264530342376
BECK726,2024_Y2_1_ACRE,6819.378365662829
22PU-0108,2024_Y2_1_ACRE,4231.3413509816055
22PU-1081,2024_Y2_1_ACRE,3981.5163781738333
B722,2025_Y2-2_ACRE,4032.683612292635
BECK726,2025_Y2-2_ACRE,6819.378365662829
22PU-3092,2025_Y3-1_ACRE,3812.9220354026575
22PU-0108,2025_Y3-1_ACRE,4231.3413509816055
BECK726,2025_Y3-1_ACRE,6819.378365662829
22PU-1031,2025_Y3-1_ACRE,4108.111139602405
22PU-3170,2025_Y3-1_ACRE,3705.1599508237105
22PU-3409,2025_Y3-1_ACRE,3667.4739001921316
22PU-3438,2025_Y3-1_ACRE,4104.021480192131
22PU-3041,2025_Y3-1_ACRE,3940.6759618237106
B722,2025_Y3-1_ACRE,4032.683612292635
22PU-1081,2025_Y3-1_ACRE,3981.5163781738333
22PU-1250,2025_Y3-1_ACRE,3337.3264530342376
B722,2025_Y1-5_ACRE,4032.683612292635
BECK726,2025_Y1-5_ACRE,6819.378365662829
B722,2025_Y2-1_ACRE,4032.683612292635
BECK726,2025_Y2-1_ACRE,6819.378365662829
B722,2025_Y1-3_ACRE,4032.683612292635
BECK726,2025_Y1-3_ACRE,6819.378365662829
B722,2025_Y1-1_ACRE,4032.683612292635
BECK726,2025_Y1-1_ACRE,6819.378365662829
B722,2025_Y1-8_Light_ACRE,4032.683612292635
BECK726,2025_Y1-8_Light_ACRE,6819.378365662829
B722,2025_Y1-2_ACRE,4032.683612292635
BECK726,2025_Y1-2_ACRE,6819.378365662829
B722,2025_Y1-6_ACRE,4032.683612292635
BECK726,2025_Y1-6_ACRE,6819.378365662829
B722,2025_Y1-4_ACRE,4032.683612292635
BECK726,2025_Y1-4_ACRE,6819.378365662829
B722,2025_Y1-7_ACRE,4032.683612292635
BECK726,2025_Y1-7_ACRE,6819.378365662829
B722,2025_Y1-7_Rep_ACRE,4032.683612292635
BECK726,2025_Y1-7_Rep_ACRE,6819.378365662829
EXPEDITION,OWW_2021_SPO,3628.0096901560623
ARAPAHOE,OWW_2021_SPO,3262.2759306996727
EXPEDITION,OWW_2021_MAD,3628.0096901560623
OVERLAND,OWW_2021_MAD,4156.710578292147
ARAPAHOE,OWW_2021_MAD,3262.2759306996727
TX02A0252,OWW_2021_MAD,3594.8093915077125
BECK726,2025_Elite_ACRE,6819.378365662829
21PU-0280,2025_Elite_ACRE,4991.874249652337
21PU-0467,2025_Elite_ACRE,5169.512274020744
21PU-0507,2025_Elite_ACRE,4889.42601776835
22PU-3029,2025_Elite_ACRE,9451.28551318602
22PU-3470,2025_Elite_ACRE,9983.685843436979
B722,2025_Elite_ACRE,4032.683612292635
21PU-0073,2025_Elite_ACRE,4367.510875941326
21PU-0281,2025_Elite_ACRE,3427.285154910621
21PU-0282,2025_Elite_ACRE,4472.537858565017
21PU-0157,2025_Elite_ACRE,4033.653529336978
BOB_DOLE,22COLKS_TDicQual,2894.888712938654
KS090387K-20,22COLKS_TDicQual,2468.789497480168
KanMark,22COLKS_TDicQual,2921.7512731046163
ZENDA,22COLKS_TDicQual,2866.23008941533
KS090387K-20,22MANKS_TDicQual,2468.789497480168
ZENDA,22MANKS_TDicQual,2866.23008941533
KanMark,22MANKS_TDicQual,2921.7512731046163
BOB_DOLE,22MANKS_TDicQual,2894.888712938654
KanMark,22HAYKS_TDicQual,2921.7512731046163
KS090387K-20,22HAYKS_TDicQual,2468.789497480168
ZENDA,22HAYKS_TDicQual,2866.23008941533
BOB_DOLE,22HAYKS_TDicQual,2894.888712938654
X111616-1.6.2.1,22HUTKS_TCAP_C,2856.2995977900146
KS090387K-20,22HUTKS_TCAP_C,2468.789497480168
KS16COGDPOP71-11,22HUTKS_TCAP_C,2228.7325122447633
U9006-M-D01-H2,22HUTKS_TCAP_C,2603.637164283352
TX02A0252,22HUTKS_TCAP_C,3594.8093915077125
U8323_D5,22HUTKS_TCAP_C,2826.129386759314
U9006-AI-D16-F,22HUTKS_TCAP_C,2561.1231876166858
KS16COGDPOP72-5,22HUTKS_TCAP_C,3098.2689228921313
BOND_CL,22HUTKS_TCAP_C,3042.276673196602
KS15COGDPOP20-3,22HUTKS_TCAP_C,2706.8842211394995
X111616-1.6.10.3,22HUTKS_TCAP_C,2916.043259247158
ROBIDOUX,22HUTKS_TCAP_C,3469.8855299439097
BOB_DOLE,22HUTKS_TCAP_C,2894.888712938654
OK05723W,22HUTKS_TCAP_C,2728.0589235458474
X111480-1.8.4.3,22HUTKS_TCAP_C,2702.624842289152
OK05511,22HUTKS_TCAP_C,3518.8139270503825
U8453_B7,22HUTKS_TCAP_C,2704.8331343203895
U8819-O-G01,22HUTKS_TCAP_C,2702.873816161443
X111616-1.6.9.8,22HUTKS_TCAP_C,3251.730329961443
KS16COGDPOP52-2,22HUTKS_TCAP_C,2884.715337161443
ZENDA,22HUTKS_TCAP_C,2866.23008941533
HARRY,22HUTKS_TCAP_C,4002.412256657594
X111616-1.6.10.4,22HUTKS_TCAP_C,2904.914564394463
X111616-1.6.6.3,22HUTKS_TCAP_C,2930.077286950019
TX99U8618,22HUTKS_TCAP_C,2611.277047901148
KS15COGDPOP70-1,22HUTKS_TCAP_C,2975.977680613184
KanMark,22HUTKS_TCAP_C,2921.7512731046163
KS16GD2POP12-11,22HUTKS_TCAP_C,2810.4463492973946
